FIS1,PTHR13247:SF0,PTHR13247
C16orf90,PTHR37334:SF1,PTHR37334
IGSF11,PTHR44699:SF1,PTHR44699
PCTP,PTHR19308:SF39,PTHR19308
ZXDC,PTHR46179:SF5,PTHR46179
GPRASP1,PTHR46414:SF3,PTHR46414
SDHAF4,PTHR28524:SF3,PTHR28524
ZNF28,PTHR24377:SF301,PTHR24377
TANC2,PTHR24166:SF21,PTHR24166
MARK1,PTHR24346:SF21,PTHR24346
FOXG1,PTHR46617:SF3,PTHR46617
PXK,PTHR22999:SF40,PTHR22999
ATCAY,PTHR12112:SF9,PTHR12112
PELI1,PTHR12098:SF4,PTHR12098
BEST3,PTHR10736:SF2,PTHR10736
FAM156B,PTHR31577:SF3,PTHR31577
HOGA1,PTHR12128:SF15,PTHR12128
LARP4,PTHR22792:SF48,PTHR22792
TPP1,PTHR14218:SF15,PTHR14218
AP1AR,PTHR34529:SF1,PTHR34529
PLPPR5,PTHR10165:SF17,PTHR10165
HAUS1,PTHR31570:SF1,PTHR31570
USP17L18,PTHR24006:SF651,PTHR24006
OR52E4,PTHR26450:SF13,PTHR26450
TK2,PTHR10513:SF24,PTHR10513
CYP2D7,PTHR24300:SF1,PTHR24300
MYO1F,PTHR13140:SF663,PTHR13140
RLF,PTHR15507:SF18,PTHR15507
ITFG2,PTHR16317:SF1,PTHR16317
RIIAD1,PTHR15505:SF4,PTHR15505
USP17L13,PTHR24006:SF651,PTHR24006
COG5,PTHR13228:SF3,PTHR13228
GAGE8,PTHR14047:SF30,PTHR14047
FOXI3,PTHR11829:SF310,PTHR11829
SHCBP1,PTHR14695:SF8,PTHR14695
PCCA,PTHR18866:SF33,PTHR18866
GBX1,PTHR24334:SF2,PTHR24334
CRYBA2,PTHR11818:SF7,PTHR11818
TSGA10,PTHR23159:SF14,PTHR23159
SPDYE2B,PTHR31156:SF15,PTHR31156
SLC41A2,PTHR16228:SF25,PTHR16228
PPP1R13L,PTHR24164:SF4,PTHR24164
HNF1B,PTHR11568:SF2,PTHR11568
CACNA2D2,PTHR10166:SF7,PTHR10166
RBPMS2,PTHR10501:SF30,PTHR10501
ZNF460,PTHR24384:SF15,PTHR24384
EEPD1,PTHR21180:SF32,PTHR21180
VCAN,PTHR22804:SF6,PTHR22804
KRTAP10-10,PTHR23262:SF184,PTHR23262
CAB39L,PTHR10182:SF9,PTHR10182
RFPL1,PTHR24103:SF674,PTHR24103
MRPL54,PTHR28595:SF1,PTHR28595
ENAH,PTHR11202:SF1,PTHR11202
NME2,PTHR11349:SF57,PTHR11349
OR51G1,PTHR26450:SF140,PTHR26450
RFC3,PTHR11669:SF1,PTHR11669
PREP,PTHR42881:SF2,PTHR42881
BEND3,PTHR28665:SF1,PTHR28665
ZSWIM8,PTHR22619:SF1,PTHR22619
TSKS,PTHR14351:SF1,PTHR14351
TDP2,PTHR15822:SF4,PTHR15822
DOK3,PTHR21258:SF42,PTHR21258
SYNE3,PTHR47535:SF2,PTHR47535
PIAS4,PTHR10782:SF9,PTHR10782
MNDA,PTHR12200:SF27,PTHR12200
DOCK10,PTHR23317:SF71,PTHR23317
PATL1,PTHR21551:SF2,PTHR21551
C15orf65,PTHR20899:SF4,PTHR20899
ANKRD20A1,PTHR24147:SF1,PTHR24147
KRTAP29-1,PTHR23262:SF91,PTHR23262
DENND2B,PTHR15288:SF5,PTHR15288
GDF9,PTHR11848:SF19,PTHR11848
ZNF334,PTHR24377:SF116,PTHR24377
EPN2,PTHR12276:SF50,PTHR12276
GPR21,PTHR24249:SF384,PTHR24249
TMIGD1,PTHR12231:SF219,PTHR12231
MYL9,PTHR23049:SF66,PTHR23049
ZNF833P,PTHR16515:SF47,PTHR16515
EFNA2,PTHR11304:SF4,PTHR11304
PCDHGA12,PTHR24028:SF227,PTHR24028
C12orf57,PTHR13463:SF3,PTHR13463
OR7C1,PTHR48001:SF118,PTHR48001
MAPKAP1,PTHR13335:SF1,PTHR13335
RBM12B,PTHR13976:SF28,PTHR13976
BSND,PTHR28399:SF1,PTHR28399
EIF4A2,PTHR24031:SF762,PTHR24031
ZDHHC19,PTHR22883:SF326,PTHR22883
PACRG,PTHR21207:SF2,PTHR21207
NLRP4,PTHR45690:SF6,PTHR45690
UCN2,PTHR17575:SF0,PTHR17575
ASL,PTHR43814:SF1,PTHR43814
WNT3A,PTHR12027:SF88,PTHR12027
ABCB5,PTHR24221:SF217,PTHR24221
GTPBP3,PTHR42714:SF2,PTHR42714
NAPEPLD,PTHR15032:SF4,PTHR15032
SPATA5L1,PTHR23077:SF117,PTHR23077
SLC6A16,PTHR11616:SF233,PTHR11616
RESF1,PTHR21604:SF0,PTHR21604
RBM20,PTHR15592:SF11,PTHR15592
SPATA6,PTHR16435:SF3,PTHR16435
CCT6A,PTHR11353:SF54,PTHR11353
IL12B,PTHR23036:SF156,PTHR23036
GDNF,PTHR12173:SF1,PTHR12173
RAMAC,PTHR48168:SF1,PTHR48168
OR4C3,PTHR48002:SF40,PTHR48002
SMAD5,PTHR13703:SF36,PTHR13703
HBS1L,PTHR23115:SF188,PTHR23115
ETAA1,PTHR16434:SF2,PTHR16434
RTN4R,PTHR24369:SF174,PTHR24369
SPOP,PTHR24413:SF97,PTHR24413
DHX37,PTHR18934:SF99,PTHR18934
UCK2,PTHR10285:SF131,PTHR10285
STX12,PTHR19957:SF88,PTHR19957
ST3GAL2,PTHR46032:SF4,PTHR46032
CCDC198,PTHR16065:SF2,PTHR16065
BHLHE41,PTHR10985:SF76,PTHR10985
NUAK2,PTHR24343:SF133,PTHR24343
DNAJC17,PTHR44313:SF1,PTHR44313
IQGAP2,PTHR14149:SF12,PTHR14149
RTL10,PTHR15503:SF4,PTHR15503
CDC14B,PTHR23339:SF74,PTHR23339
STK3,PTHR48015:SF23,PTHR48015
C8orf74,PTHR28457:SF2,PTHR28457
IGFBP3,PTHR11551:SF3,PTHR11551
ERG,PTHR11849:SF216,PTHR11849
OR4S1,PTHR48002:SF81,PTHR48002
CDK5R2,PTHR23401:SF3,PTHR23401
UGT2B10,PTHR48043:SF86,PTHR48043
PHF20,PTHR15856:SF27,PTHR15856
IK,PTHR12765:SF7,PTHR12765
THSD1,PTHR16311:SF3,PTHR16311
TMED10,PTHR22811:SF183,PTHR22811
ZNF850,PTHR24376:SF238,PTHR24376
TPH2,PTHR11473:SF16,PTHR11473
TCF25,PTHR22684:SF0,PTHR22684
ZSCAN25,PTHR23226:SF1,PTHR23226
UBE2C,PTHR24068:SF360,PTHR24068
TBC1D3F,PTHR22957:SF571,PTHR22957
G6PD,PTHR23429:SF0,PTHR23429
HEMGN,PTHR15993:SF6,PTHR15993
TTLL4,PTHR12241:SF162,PTHR12241
ARHGAP21,PTHR23175:SF16,PTHR23175
ATG101,PTHR13292:SF0,PTHR13292
NPB,PTHR28553:SF1,PTHR28553
ULK3,PTHR24348:SF65,PTHR24348
SENP3,PTHR12606:SF16,PTHR12606
OR8G1,PTHR48018:SF56,PTHR48018
PCSK9,PTHR43806:SF60,PTHR43806
PXDC1,PTHR31433:SF0,PTHR31433
PHF14,PTHR13793:SF150,PTHR13793
CCDC181,PTHR14320:SF2,PTHR14320
OR5J2,PTHR26452:SF418,PTHR26452
TAGLN2,PTHR47385:SF20,PTHR47385
TTN,PTHR13817:SF151,PTHR13817
GOT1L1,PTHR11879:SF6,PTHR11879
TAF12,PTHR12264:SF21,PTHR12264
AMPD1,PTHR11359:SF1,PTHR11359
KIRREL1,PTHR11640:SF14,PTHR11640
ZFP57,PTHR24381:SF277,PTHR24381
RAPGEF6,PTHR23113:SF222,PTHR23113
WBP11,PTHR13361:SF1,PTHR13361
JAKMIP2,PTHR18935:SF7,PTHR18935
APOD,PTHR10612:SF34,PTHR10612
PABPN1,PTHR23236:SF16,PTHR23236
OR9G1,PTHR24242:SF158,PTHR24242
CHAMP1,PTHR37354:SF1,PTHR37354
WDR75,PTHR44215:SF1,PTHR44215
LRRC15,PTHR24373:SF262,PTHR24373
FBXW9,PTHR19855:SF34,PTHR19855
MPP4,PTHR23122:SF34,PTHR23122
CELSR2,PTHR24026:SF32,PTHR24026
FN3KRP,PTHR12149:SF10,PTHR12149
RPRD1B,PTHR12460:SF3,PTHR12460
SPIN2A,PTHR10405:SF13,PTHR10405
USP17L17,PTHR24006:SF651,PTHR24006
NUCKS1,PTHR15361:SF1,PTHR15361
XIRP1,PTHR22591:SF2,PTHR22591
MYG1,PTHR11215:SF1,PTHR11215
C1QTNF9B,PTHR15427:SF41,PTHR15427
PAPSS1,PTHR11055:SF17,PTHR11055
TMEM19,PTHR13353:SF5,PTHR13353
PRICKLE3,PTHR24211:SF19,PTHR24211
VEPH1,PTHR21630:SF10,PTHR21630
PPP1R1B,PTHR15417:SF2,PTHR15417
CAPN12,PTHR10183:SF280,PTHR10183
OR6B1,PTHR26453:SF284,PTHR26453
SH2D3C,PTHR14247:SF6,PTHR14247
ADAM29,PTHR11905:SF34,PTHR11905
CARD14,PTHR14559:SF1,PTHR14559
IFI16,PTHR12200:SF5,PTHR12200
INSM2,PTHR15065:SF6,PTHR15065
LDLRAD4,PTHR16514:SF4,PTHR16514
SMKR1,PTHR37932:SF1,PTHR37932
ZNF607,PTHR24377:SF819,PTHR24377
TRAV38-1,PTHR23267:SF141,PTHR23267
RBL2,PTHR13742:SF8,PTHR13742
ARSK,PTHR46615:SF1,PTHR46615
BPIFA4P,PTHR47015:SF3,PTHR47015
FAM13B,PTHR15904:SF16,PTHR15904
TNFRSF10D,PTHR46330:SF10,PTHR46330
TNFSF10,PTHR11471:SF27,PTHR11471
KANK2,PTHR24168:SF0,PTHR24168
POLE2,PTHR12708:SF0,PTHR12708
YARS2,PTHR11766:SF0,PTHR11766
NDUFC1,PTHR17097:SF0,PTHR17097
ELF2,PTHR11849:SF10,PTHR11849
CASP8AP2,PTHR15489:SF2,PTHR15489
LAGE3,PTHR31283:SF19,PTHR31283
MUCL3,PTHR22094:SF0,PTHR22094
MORC2,PTHR23337:SF7,PTHR23337
ERMARD,PTHR31701:SF2,PTHR31701
UQCRFS1,PTHR10134:SF20,PTHR10134
MAD1L1,PTHR23168:SF0,PTHR23168
RPS6KA5,PTHR24351:SF115,PTHR24351
OCLN,PTHR23288:SF4,PTHR23288
NCOA1,PTHR10684:SF1,PTHR10684
DEFB119,PTHR47902:SF1,PTHR47902
PTH2R,PTHR45620:SF7,PTHR45620
CAPN2,PTHR10183:SF268,PTHR10183
FAM174A,PTHR28607:SF1,PTHR28607
TTLL8,PTHR45870:SF3,PTHR45870
FRS3,PTHR21258:SF39,PTHR21258
PARP11,PTHR45740:SF4,PTHR45740
TJAP1,PTHR28664:SF3,PTHR28664
ROPN1B,PTHR14952:SF12,PTHR14952
SELENOF,PTHR13077:SF6,PTHR13077
NUP160,PTHR21286:SF0,PTHR21286
UBASH3A,PTHR16469:SF7,PTHR16469
SCARF2,PTHR24043:SF5,PTHR24043
OLFML3,PTHR23192:SF8,PTHR23192
LBX1,PTHR24336:SF9,PTHR24336
IGHV4-28,PTHR23266:SF361,PTHR23266
FNDC8,PTHR32430:SF1,PTHR32430
CCR9,PTHR10489:SF664,PTHR10489
ERCC5,PTHR16171:SF7,PTHR16171
PYCR1,PTHR11645:SF6,PTHR11645
RIMBP3B,PTHR14234:SF21,PTHR14234
COL25A1,PTHR37456:SF3,PTHR37456
PTS,PTHR12589:SF7,PTHR12589
TM7SF3,PTHR15937:SF3,PTHR15937
C5,PTHR11412:SF83,PTHR11412
MTRF1,PTHR43804:SF1,PTHR43804
LGALS8,PTHR11346:SF22,PTHR11346
NEXN,PTHR10075:SF52,PTHR10075
LRRC70,PTHR45617:SF121,PTHR45617
GRID1,PTHR18966:SF108,PTHR18966
SCGB3A2,PTHR34829:SF2,PTHR34829
APOL4,PTHR14096:SF39,PTHR14096
TBC1D1,PTHR22957:SF204,PTHR22957
EFNA4,PTHR11304:SF42,PTHR11304
CCT2,PTHR11353:SF23,PTHR11353
C2,PTHR46393:SF2,PTHR46393
HTATSF1,PTHR15608:SF0,PTHR15608
PEX10,PTHR23350:SF0,PTHR23350
SYT10,PTHR10024:SF46,PTHR10024
PRR32,PTHR37343:SF1,PTHR37343
CD8B2,PTHR11292:SF7,PTHR11292
ALAS1,PTHR13693:SF50,PTHR13693
SLIT3,PTHR45836:SF9,PTHR45836
OR2F1,PTHR26453:SF116,PTHR26453
DUX3,PTHR46123:SF3,PTHR46123
PYY3,PTHR10533:SF14,PTHR10533
ATG12,PTHR13385:SF5,PTHR13385
TMEM223,PTHR14549:SF2,PTHR14549
PQBP1,PTHR21737:SF3,PTHR21737
TCEANC,PTHR11477:SF7,PTHR11477
FLACC1,PTHR21707:SF42,PTHR21707
ELF4,PTHR11849:SF170,PTHR11849
LEUTX,PTHR45793:SF18,PTHR45793
TMEM176A,PTHR15756:SF6,PTHR15756
SRP14,PTHR12013:SF2,PTHR12013
ASB9,PTHR24136:SF17,PTHR24136
CKAP2L,PTHR47078:SF1,PTHR47078
SLC22A1,PTHR24064:SF291,PTHR24064
POTEB2,PTHR24118:SF65,PTHR24118
ZNF662,PTHR24390:SF39,PTHR24390
SCG2,PTHR15119:SF0,PTHR15119
ZNF165,PTHR23226:SF61,PTHR23226
CCDC180,PTHR21444:SF14,PTHR21444
KRTAP1-5,PTHR23262:SF195,PTHR23262
TADA3,PTHR13556:SF2,PTHR13556
NELL1,PTHR24042:SF2,PTHR24042
ZCRB1,PTHR46259:SF2,PTHR46259
PARD3,PTHR16484:SF10,PTHR16484
WNK1,PTHR24361:SF414,PTHR24361
SHISAL2A,PTHR31395:SF3,PTHR31395
CTXN3,PTHR16736:SF1,PTHR16736
ADH7,PTHR43880:SF2,PTHR43880
ANO3,PTHR12308:SF16,PTHR12308
PARP2,PTHR10459:SF60,PTHR10459
MXD4,PTHR11969:SF4,PTHR11969
KRTAP9-6,PTHR23262:SF133,PTHR23262
NUFIP1,PTHR13309:SF1,PTHR13309
GATD3A,PTHR10224:SF9,PTHR10224
RPGR,PTHR45622:SF58,PTHR45622
C11orf87,PTHR31870:SF2,PTHR31870
UBQLN3,PTHR10677:SF4,PTHR10677
TMEM268,PTHR31193:SF1,PTHR31193
FARSB,PTHR10947:SF0,PTHR10947
ANGPT2,PTHR19143:SF199,PTHR19143
PHB2,PTHR23222:SF1,PTHR23222
SPIRE2,PTHR21345:SF5,PTHR21345
ZSCAN12,PTHR23226:SF68,PTHR23226
UTS2R,PTHR24230:SF60,PTHR24230
ZNF605,PTHR24377:SF120,PTHR24377
CDC25B,PTHR10828:SF48,PTHR10828
ZSCAN1,PTHR23226:SF332,PTHR23226
C2orf78,PTHR31466:SF1,PTHR31466
NUP188,PTHR31431:SF1,PTHR31431
POLR1H,PTHR11239:SF14,PTHR11239
LENEP,PTHR16968:SF2,PTHR16968
TMEM183B,PTHR20988:SF2,PTHR20988
NEIL2,PTHR22993:SF29,PTHR22993
MON1A,PTHR13027:SF14,PTHR13027
NECTIN3,PTHR23277:SF12,PTHR23277
MT1E,PTHR23299:SF48,PTHR23299
C2CD3,PTHR21254:SF1,PTHR21254
BTN1A1,PTHR24100:SF138,PTHR24100
CNTRL,PTHR34491:SF84,PTHR34491
SNX2,PTHR10555:SF31,PTHR10555
YJEFN3,PTHR13232:SF12,PTHR13232
POLR3G,PTHR15367:SF3,PTHR15367
AGBL4,PTHR12756:SF9,PTHR12756
NGB,PTHR46458:SF19,PTHR46458
ZBTB32,PTHR24399:SF40,PTHR24399
LRCOL1,PTHR10041:SF6,PTHR10041
LKAAEAR1,PTHR35665:SF1,PTHR35665
C16orf89,PTHR33539:SF2,PTHR33539
ZNF33A,PTHR24376:SF193,PTHR24376
WBP2,PTHR31606:SF4,PTHR31606
TGFBR2,PTHR23255:SF55,PTHR23255
SYT12,PTHR10024:SF252,PTHR10024
KDELR1,PTHR10585:SF61,PTHR10585
PIEZO1,PTHR13167:SF40,PTHR13167
NUMBL,PTHR47368:SF4,PTHR47368
CHAD,PTHR24373:SF277,PTHR24373
FLT3LG,PTHR11032:SF1,PTHR11032
ABCB8,PTHR24221:SF643,PTHR24221
SLC17A9,PTHR11662:SF279,PTHR11662
TGFB2,PTHR11848:SF141,PTHR11848
IGFBPL1,PTHR14186:SF16,PTHR14186
TAAR5,PTHR24249:SF307,PTHR24249
OR8H1,PTHR48018:SF181,PTHR48018
DDX53,PTHR47958:SF50,PTHR47958
WASHC4,PTHR31409:SF0,PTHR31409
GPS2,PTHR22654:SF2,PTHR22654
PICK1,PTHR12141:SF1,PTHR12141
LOX,PTHR45817:SF6,PTHR45817
NFKBIL1,PTHR15263:SF1,PTHR15263
MAP4K1,PTHR48012:SF15,PTHR48012
RAET1L,PTHR16675:SF148,PTHR16675
OPN1SW,PTHR24240:SF16,PTHR24240
BTNL10,PTHR24100:SF133,PTHR24100
KCNJ10,PTHR11767:SF21,PTHR11767
CPA1,PTHR11705:SF94,PTHR11705
BAD,PTHR28540:SF1,PTHR28540
VIT,PTHR24020:SF23,PTHR24020
PALM,PTHR10498:SF6,PTHR10498
IGHV4-59,PTHR23266:SF323,PTHR23266
RIT1,PTHR24070:SF208,PTHR24070
TMOD3,PTHR10901:SF18,PTHR10901
MAGI3,PTHR10316:SF10,PTHR10316
ARHGAP28,PTHR14963:SF5,PTHR14963
ACAP2,PTHR23180:SF241,PTHR23180
SLC24A5,PTHR10846:SF61,PTHR10846
PAAF1,PTHR19879:SF7,PTHR19879
SH3D21,PTHR14167:SF28,PTHR14167
MLST8,PTHR19842:SF0,PTHR19842
FXYD4,PTHR14132:SF10,PTHR14132
MRPL22,PTHR13501:SF8,PTHR13501
ZNF630,PTHR24377:SF216,PTHR24377
ZNF876P,PTHR24384:SF201,PTHR24384
ZNF283,PTHR24377:SF63,PTHR24377
PINK1,PTHR22972:SF7,PTHR22972
TNFRSF25,PTHR47220:SF1,PTHR47220
REG4,PTHR22803:SF147,PTHR22803
ING4,PTHR10333:SF106,PTHR10333
ATP2B3,PTHR24093:SF284,PTHR24093
OR6C75,PTHR26454:SF79,PTHR26454
FAM187A,PTHR32178:SF7,PTHR32178
INSYN2A,PTHR28682:SF1,PTHR28682
GGACT,PTHR12510:SF4,PTHR12510
OR3A1,PTHR48001:SF40,PTHR48001
KRTAP3-2,PTHR23260:SF5,PTHR23260
KAZN,PTHR12776:SF1,PTHR12776
LGALS9,PTHR11346:SF170,PTHR11346
SGTB,PTHR45831:SF1,PTHR45831
TEAD2,PTHR11834:SF5,PTHR11834
ZNF680,PTHR24384:SF121,PTHR24384
SCX,PTHR23349:SF5,PTHR23349
KIAA1328,PTHR28375:SF1,PTHR28375
PAK4,PTHR48015:SF17,PTHR48015
DMP1,PTHR23400:SF0,PTHR23400
MTARC2,PTHR14237:SF27,PTHR14237
PFDN2,PTHR13303:SF0,PTHR13303
ERBB3,PTHR24416:SF88,PTHR24416
ADA,PTHR11409:SF43,PTHR11409
CRCP,PTHR15561:SF0,PTHR15561
ZNF806,PTHR24377:SF848,PTHR24377
IQGAP3,PTHR14149:SF10,PTHR14149
REP15,PTHR36682:SF1,PTHR36682
DOK7,PTHR21636:SF2,PTHR21636
C16orf86,PTHR37867:SF1,PTHR37867
IQCM,PTHR35978:SF1,PTHR35978
BAMBI,PTHR15505:SF1,PTHR15505
