"","pair","N","Y","gene1","gene2","Ours","HCT116.gi","GM12878.gi","Dede","A549.gi","HT29.gi","OVCAR8.gi","Phoebe","PC9.gi","HeLa.gi","Nicola","A375.gi","Mewo.gi","RPE1.gi","report","sum","cells","half","robust"
"11","G3BP2.G3BP1",4,4,"G3BP2","G3BP1",NA,NA,NA,"others","N","N","N","Negative","Y","N","Negative","Y","Y","Y","novel",8,">=7 cell lines","Minor","Conditional"
"12","NDEL1.NDE1",3,4,"NDEL1","NDE1","Negative","Y","Y",NA,NA,NA,NA,"Negative","Y","Y","others","N","N","N","Reported",7,">=7 cell lines","Major","Robust"
"13","ASF1B.ASF1A",1,4,"ASF1B","ASF1A",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","Negative","Y","Y","Y","Reported",5,"4-6 cell lines","Major","Robust"
"14","FAM50B.FAM50A",1,4,"FAM50B","FAM50A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Negative","Y","Y","Y","Reported",5,"4-6 cell lines","Major","Robust"
"15","HSP90AB1.HSP90AA1",1,4,"HSP90AB1","HSP90AA1",NA,NA,NA,"Negative","Y","Y","Y","Negative","N","Y",NA,NA,NA,NA,"Reported",5,"4-6 cell lines","Major","Robust"
"16","PITPNB.PITPNA",1,4,"PITPNB","PITPNA",NA,NA,NA,"Negative","Y","Y","Y","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Major","Robust"
"17","AP2A2.AP2A1",5,3,"AP2A2","AP2A1",NA,NA,NA,"others","N","N","N","Negative","Y","Y","Negative","Y","N","N","novel",8,">=7 cell lines","Minor","Conditional"
"18","SEC24B.SEC24A",5,3,"SEC24B","SEC24A",NA,NA,NA,"others","N","N","N","Negative","Y","Y","Negative","Y","N","N","novel",8,">=7 cell lines","Minor","Conditional"
"19","EAF2.EAF1",4,3,"EAF2","EAF1","others","N","N",NA,NA,NA,NA,"Negative","N","Y","Negative","Y","Y","N","Reported",7,">=7 cell lines","Minor","Robust"
"20","PDS5B.PDS5A",4,3,"PDS5B","PDS5A","Negative","Y","Y",NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","Reported",7,">=7 cell lines","Minor","Robust"
"21","PMM2.PMM1",4,3,"PMM2","PMM1","Negative","N","Y",NA,NA,NA,NA,"Negative","Y","Y","others","N","N","N","Reported",7,">=7 cell lines","Minor","Robust"
"22","SAFB2.SAFB",4,3,"SAFB2","SAFB","others","N","N","Negative","Y","Y","N","Negative","Y","N",NA,NA,NA,NA,"novel",7,">=7 cell lines","Minor","Conditional"
"23","CAPZA2.CAPZA1",2,3,"CAPZA2","CAPZA1",NA,NA,NA,"Negative","Y","Y","Y","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Major","Robust"
"24","CDS2.CDS1",2,3,"CDS2","CDS1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Negative","Y","N","Y","Reported",5,"4-6 cell lines","Major","Robust"
"25","CHML.CHM",2,3,"CHML","CHM",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Negative","N","Y","Y","Reported",5,"4-6 cell lines","Major","Robust"
"26","CLASP2.CLASP1",2,3,"CLASP2","CLASP1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","Y","Y","novel",5,"4-6 cell lines","Major","Robust"
"27","DDX39B.DDX39A",2,3,"DDX39B","DDX39A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","Negative","N","Y","N","Reported",5,"4-6 cell lines","Major","Robust"
"28","LARP1B.LARP1",2,3,"LARP1B","LARP1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","Y","Y","novel",5,"4-6 cell lines","Major","Robust"
"29","SEC23B.SEC23A",2,3,"SEC23B","SEC23A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","Negative","Y","N","N","Reported",5,"4-6 cell lines","Major","Robust"
"30","TLK2.TLK1",2,3,"TLK2","TLK1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","Negative","N","N","Y","novel",5,"4-6 cell lines","Major","Robust"
"31","NABP2.NABP1",1,3,"NABP2","NABP1","Negative","Y","Y",NA,NA,NA,NA,"Negative","Y","N",NA,NA,NA,NA,"Reported",4,"4-6 cell lines","Major","Robust"
"32","CSNK1E.CSNK1D",0,3,"CSNK1E","CSNK1D",NA,NA,NA,"Negative","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,"Reported",3,"2-3 cell lines","Major","Robust"
"33","CSNK2A2.CSNK2A1",0,3,"CSNK2A2","CSNK2A1",NA,NA,NA,"Negative","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","Major","Robust"
"34","DDX19B.DDX19A",0,3,"DDX19B","DDX19A",NA,NA,NA,"Negative","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","Major","Robust"
"35","DNAJA2.DNAJA1",0,3,"DNAJA2","DNAJA1",NA,NA,NA,"Negative","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","Major","Robust"
"36","KDELR2.KDELR1",0,3,"KDELR2","KDELR1",NA,NA,NA,"Negative","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","Major","Robust"
"37","PTP4A2.PTP4A1",0,3,"PTP4A2","PTP4A1",NA,NA,NA,"Negative","Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,"Reported",3,"2-3 cell lines","Major","Robust"
"38","TTC7B.TTC7A",0,3,"TTC7B","TTC7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","Y","Reported",3,"2-3 cell lines","Major","Robust"
"39","STAM2.STAM",8,2,"STAM2","STAM","Negative","N","Y","others","N","N","N","Negative","Y","N","others","N","N","N","novel",10,">=7 cell lines","Minor","Conditional"
"40","ARID1B.ARID1A",6,2,"ARID1B","ARID1A",NA,NA,NA,"others","N","N","N","Negative","Y","N","Negative","N","Y","N","Reported",8,">=7 cell lines","Minor","Robust"
"41","ARPC1B.ARPC1A",6,2,"ARPC1B","ARPC1A",NA,NA,NA,"others","N","N","N","Negative","Y","N","Negative","N","N","Y","novel",8,">=7 cell lines","Minor","Conditional"
"42","ARPC5L.ARPC5",6,2,"ARPC5L","ARPC5",NA,NA,NA,"others","N","N","N","Negative","Y","N","Negative","N","Y","N","novel",8,">=7 cell lines","Minor","Conditional"
"43","DMXL2.DMXL1",6,2,"DMXL2","DMXL1",NA,NA,NA,"others","N","N","N","Negative","Y","Y","others","N","N","N","Reported",8,">=7 cell lines","Minor","Robust"
"44","MED13L.MED13",6,2,"MED13L","MED13",NA,NA,NA,"others","N","N","N","Negative","Y","Y","others","N","N","N","novel",8,">=7 cell lines","Minor","Conditional"
"45","SMARCA4.SMARCA2",6,2,"SMARCA4","SMARCA2",NA,NA,NA,"others","N","N","N","others","N","N","Negative","Y","N","Y","Reported",8,">=7 cell lines","Minor","Robust"
"46","YIF1B.YIF1A",6,2,"YIF1B","YIF1A","others","N","N","others","N","N","N",NA,NA,NA,"Negative","Y","N","Y","novel",8,">=7 cell lines","Minor","Conditional"
"47","COQ10B.COQ10A",5,2,"COQ10B","COQ10A","others","N","N",NA,NA,NA,NA,"Negative","Y","Y","others","N","N","N","novel",7,">=7 cell lines","Minor","Conditional"
"48","CCNT2.CCNT1",4,2,"CCNT2","CCNT1",NA,NA,NA,"others","N","N","N",NA,NA,NA,"Negative","N","Y","Y","novel",6,"4-6 cell lines","Minor","Conditional"
"49","COPS7B.COPS7A",4,2,"COPS7B","COPS7A",NA,NA,NA,"Negative","Y","N","Y",NA,NA,NA,"others","N","N","N","novel",6,"4-6 cell lines","Minor","Conditional"
"50","AP2B1.AP1B1",3,2,"AP2B1","AP1B1",NA,NA,NA,"Negative","N","Y","N","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"51","ATP6V0A2.ATP6V0A1",3,2,"ATP6V0A2","ATP6V0A1","Negative","N","Y","Negative","N","Y","N",NA,NA,NA,NA,NA,NA,NA,"Reported",5,"4-6 cell lines","Minor","Robust"
"52","ATP6V1C2.ATP6V1C1",3,2,"ATP6V1C2","ATP6V1C1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Negative","N","N","Y","Reported",5,"4-6 cell lines","Minor","Robust"
"53","DYNC1I2.DYNC1I1",3,2,"DYNC1I2","DYNC1I1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"54","EIF1B.EIF1",3,2,"EIF1B","EIF1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","others","N","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"55","EPC2.EPC1",3,2,"EPC2","EPC1",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","Negative","N","Y","N","Reported",5,"4-6 cell lines","Minor","Robust"
"56","FAM126B.FAM126A",3,2,"FAM126B","FAM126A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","others","N","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"57","HDAC2.HDAC1",3,2,"HDAC2","HDAC1","others","N","N","Negative","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,"Reported",5,"4-6 cell lines","Minor","Robust"
"58","MAP2K2.MAP2K1",3,2,"MAP2K2","MAP2K1",NA,NA,NA,"others","N","N","N","Negative","Y","Y",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"59","RANBP6.IPO5",3,2,"RANBP6","IPO5",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"60","SEPHS2.SEPHS1",3,2,"SEPHS2","SEPHS1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Negative","Y","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"61","SHMT2.SHMT1",3,2,"SHMT2","SHMT1",NA,NA,NA,"others","N","N","N","Negative","Y","Y",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"62","SNRPB2.SNRPA",3,2,"SNRPB2","SNRPA",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Negative","Y","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"63","UAP1L1.UAP1",3,2,"UAP1L1","UAP1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","Y","N","Reported",5,"4-6 cell lines","Minor","Robust"
"64","UPF3B.UPF3A",3,2,"UPF3B","UPF3A","Negative","N","Y",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","N","novel",5,"4-6 cell lines","Minor","Conditional"
"65","DDX5.DDX17",2,2,"DDX5","DDX17","Negative","Y","Y",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"Reported",4,"4-6 cell lines","Minor","Robust"
"66","HNRNPD.HNRNPAB",2,2,"HNRNPD","HNRNPAB","others","N","N",NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"novel",4,"4-6 cell lines","Minor","Conditional"
"67","MFN2.MFN1",2,2,"MFN2","MFN1","Negative","Y","N",NA,NA,NA,NA,"Negative","N","Y",NA,NA,NA,NA,"novel",4,"4-6 cell lines","Minor","Conditional"
"68","PSPC1.NONO",2,2,"PSPC1","NONO","Negative","Y","N",NA,NA,NA,NA,"Negative","Y","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","Minor","Conditional"
"69","IDH3G.IDH3B",1,2,"IDH3G","IDH3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","N","novel",3,"2-3 cell lines","Major","Robust"
"70","NRDC.IDE",1,2,"NRDC","IDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Y","novel",3,"2-3 cell lines","Major","Robust"
"71","PAPOLG.PAPOLA",1,2,"PAPOLG","PAPOLA",NA,NA,NA,"Negative","N","Y","Y",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","Major","Robust"
"72","SRRM3.SRRM2",1,2,"SRRM3","SRRM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y","N","novel",3,"2-3 cell lines","Major","Robust"
"73","ZC3H6.ZC3H4",1,2,"ZC3H6","ZC3H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","Y","novel",3,"2-3 cell lines","Major","Robust"
"74","AKIRIN2.AKIRIN1",0,2,"AKIRIN2","AKIRIN1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"75","CKS2.CKS1B",0,2,"CKS2","CKS1B",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"76","DRG2.DRG1",0,2,"DRG2","DRG1","Negative","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"77","IREB2.ACO1",0,2,"IREB2","ACO1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"78","POC1B.POC1A",0,2,"POC1B","POC1A","Negative","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"79","RALB.RALA",0,2,"RALB","RALA",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"80","RPL22L1.RPL22",0,2,"RPL22L1","RPL22",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"81","RPS27L.RPS27",0,2,"RPS27L","RPS27",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"82","SRSF6.SRSF4",0,2,"SRSF6","SRSF4","Negative","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"83","SSH2.SSH1",0,2,"SSH2","SSH1","Negative","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"84","TRA2B.TRA2A",0,2,"TRA2B","TRA2A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"85","UBE2B.UBE2A",0,2,"UBE2B","UBE2A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"novel",2,"2-3 cell lines","Major","Robust"
"86","VAPB.VAPA",0,2,"VAPB","VAPA",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"87","VPS4B.VPS4A",0,2,"VPS4B","VPS4A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","Y",NA,NA,NA,NA,"Reported",2,"2-3 cell lines","Major","Robust"
"88","DYNC1LI2.DYNC1LI1",7,1,"DYNC1LI2","DYNC1LI1",NA,NA,NA,"others","N","N","N","others","N","N","Negative","Y","N","N","Reported",8,">=7 cell lines","Minor","Robust"
"89","FNDC3B.FNDC3A",7,1,"FNDC3B","FNDC3A",NA,NA,NA,"others","N","N","N","Negative","N","Y","others","N","N","N","novel",8,">=7 cell lines","Minor","Conditional"
"90","MTMR4.MTMR3",7,1,"MTMR4","MTMR3","Negative","Y","N","others","N","N","N",NA,NA,NA,"others","N","N","N","novel",8,">=7 cell lines","Minor","Conditional"
"91","PUM2.PUM1",7,1,"PUM2","PUM1",NA,NA,NA,"others","N","N","N","Negative","N","Y","others","N","N","N","novel",8,">=7 cell lines","Minor","Conditional"
"92","FAM160B2.FAM160B1",6,1,"FAM160B2","FAM160B1","Negative","N","Y","others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",7,">=7 cell lines","Minor","Conditional"
"93","PCMTD2.PCMTD1",6,1,"PCMTD2","PCMTD1","others","N","N","others","N","N","N","Negative","N","Y",NA,NA,NA,NA,"novel",7,">=7 cell lines","Minor","Conditional"
"94","ROCK2.ROCK1",6,1,"ROCK2","ROCK1","others","N","N","others","N","N","N","Negative","Y","N",NA,NA,NA,NA,"Reported",7,">=7 cell lines","Minor","Robust"
"95","CCNE2.CCNE1",5,1,"CCNE2","CCNE1",NA,NA,NA,"Negative","N","N","Y",NA,NA,NA,"others","N","N","N","Reported",6,"4-6 cell lines","Minor","Robust"
"96","FNIP2.FNIP1",5,1,"FNIP2","FNIP1",NA,NA,NA,"others","N","N","N",NA,NA,NA,"Negative","Y","N","N","Reported",6,"4-6 cell lines","Minor","Robust"
"97","ACACB.ACACA",4,1,"ACACB","ACACA",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"98","ACSL4.ACSL3",4,1,"ACSL4","ACSL3",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"99","ALAS2.ALAS1",4,1,"ALAS2","ALAS1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","N","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"100","ARL8B.ARL8A",4,1,"ARL8B","ARL8A",NA,NA,NA,"others","N","N","N","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"101","ATP6V1E2.ATP6V1E1",4,1,"ATP6V1E2","ATP6V1E1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"102","CAB39L.CAB39",4,1,"CAB39L","CAB39",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"103","CCT6B.CCT6A",4,1,"CCT6B","CCT6A",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"104","CHD2.CHD1",4,1,"CHD2","CHD1",NA,NA,NA,"Negative","Y","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"105","COPG2.COPG1",4,1,"COPG2","COPG1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"106","CRKL.CRK",4,1,"CRKL","CRK",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","N","Y","N","Reported",5,"4-6 cell lines","Minor","Robust"
"107","DYNLT3.DYNLT1",4,1,"DYNLT3","DYNLT1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"108","EEF1A2.EEF1A1",4,1,"EEF1A2","EEF1A1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"109","GABPB2.GABPB1",4,1,"GABPB2","GABPB1",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"110","KAT2B.KAT2A",4,1,"KAT2B","KAT2A",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"111","KATNAL1.KATNA1",4,1,"KATNAL1","KATNA1",NA,NA,NA,"others","N","N","N","Negative","N","Y",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"112","MEF2D.MEF2A",4,1,"MEF2D","MEF2A","Negative","N","Y","others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"Reported",5,"4-6 cell lines","Minor","Robust"
"113","NCK2.NCK1",4,1,"NCK2","NCK1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","N","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"114","OAZ2.OAZ1",4,1,"OAZ2","OAZ1","Negative","N","Y","others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"115","PAXBP1.GCFC2",4,1,"PAXBP1","GCFC2","others","N","N",NA,NA,NA,NA,NA,NA,NA,"Negative","N","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"116","PPA2.PPA1",4,1,"PPA2","PPA1",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","N","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"117","PPP2R1B.PPP2R1A",4,1,"PPP2R1B","PPP2R1A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"118","PSMB9.PSMB6",4,1,"PSMB9","PSMB6",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"119","PYCR2.PYCR1",4,1,"PYCR2","PYCR1",NA,NA,NA,"Negative","N","Y","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"120","RABL2B.RABL2A",4,1,"RABL2B","RABL2A",NA,NA,NA,"others","N","N","N","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"121","RHPN2.RHPN1",4,1,"RHPN2","RHPN1","others","N","N",NA,NA,NA,NA,NA,NA,NA,"Negative","N","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"122","RRAGD.RRAGC",4,1,"RRAGD","RRAGC",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","N","Y","N","Reported",5,"4-6 cell lines","Minor","Robust"
"123","RRM2B.RRM2",4,1,"RRM2B","RRM2",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"124","SEC11C.SEC11A",4,1,"SEC11C","SEC11A",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"125","SOS2.SOS1",4,1,"SOS2","SOS1",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"126","SPOPL.SPOP",4,1,"SPOPL","SPOP",NA,NA,NA,"others","N","N","N","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"127","STK39.OXSR1",4,1,"STK39","OXSR1",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","Reported",5,"4-6 cell lines","Minor","Robust"
"128","STX7.STX12",4,1,"STX7","STX12",NA,NA,NA,"others","N","N","N","Negative","N","Y",NA,NA,NA,NA,"Reported",5,"4-6 cell lines","Minor","Robust"
"129","TMED7.TMED3",4,1,"TMED7","TMED3",NA,NA,NA,"others","N","N","N","Negative","N","Y",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"130","TMEM161B.TMEM161A",4,1,"TMEM161B","TMEM161A","Negative","N","Y",NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"131","TMEM185B.TMEM185A",4,1,"TMEM185B","TMEM185A",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","N","N","Y","novel",5,"4-6 cell lines","Minor","Conditional"
"132","TNKS2.TNKS",4,1,"TNKS2","TNKS",NA,NA,NA,"others","N","N","N","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"133","TOP1MT.TOP1",4,1,"TOP1MT","TOP1",NA,NA,NA,NA,NA,NA,NA,"Negative","N","Y","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"134","TOP2B.TOP2A",4,1,"TOP2B","TOP2A",NA,NA,NA,NA,NA,NA,NA,"Negative","Y","N","others","N","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"135","XPO7.RANBP17",4,1,"XPO7","RANBP17",NA,NA,NA,NA,NA,NA,NA,"others","N","N","Negative","Y","N","N","novel",5,"4-6 cell lines","Minor","Conditional"
"136","ZNF76.ZNF143",4,1,"ZNF76","ZNF143",NA,NA,NA,"others","N","N","N","Negative","Y","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","Minor","Conditional"
"137","ARG2.ARG1",3,1,"ARG2","ARG1","others","N","N",NA,NA,NA,NA,"Negative","Y","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","Minor","Conditional"
"138","MLLT3.MLLT1",3,1,"MLLT3","MLLT1","Negative","N","Y",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","Minor","Conditional"
"139","RPRD1B.RPRD1A",3,1,"RPRD1B","RPRD1A","Negative","N","Y",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","Minor","Conditional"
"140","RRAGB.RRAGA",3,1,"RRAGB","RRAGA","others","N","N",NA,NA,NA,NA,"Negative","Y","N",NA,NA,NA,NA,"Reported",4,"4-6 cell lines","Minor","Robust"
