A1CF	ENSGALG00000003765
ADA2	ENSGALG00000013031
ADA	ENSGALG00000004170
ADAL	ENSGALG00000004038
ADAM10	ENSGALG00000004212
ADAM11	ENSGALG00000035673
ADAM12	ENSGALG00000041255
ADAM17	ENSGALG00000016427
ADAM19	ENSGALG00000003744
ADAM22	ENSGALG00000008976
ADAM23	ENSGALG00000008582
ADAM28	ENSGALG00000000357
ADAM33	ENSGALG00000030602
ADAM9	ENSGALG00000003398
ADAMTS12	ENSGALG00000003295
ADAMTS14	ENSGALG00000039219
ADAMTS15	ENSGALG00000001407
ADAMTS17	ENSGALG00000038688
ADAMTS18	ENSGALG00000005347
ADAMTS19	ENSGALG00000000151
ADAMTS1	ENSGALG00000040342
ADAMTS20	ENSGALG00000009572
ADAMTS2	ENSGALG00000032974
ADAMTS3	ENSGALG00000011623
ADAMTS4	ENSGALG00000030502
ADAMTS5	ENSGALG00000015795
ADAMTS6	ENSGALG00000014751
ADAMTS7	ENSGALG00000008164
ADAMTS8	ENSGALG00000001370
ADAMTS9	ENSGALG00000041750
ADAMTSL1	ENSGALG00000020554
ADAMTSL2	ENSGALG00000002955
ADAMTSL5	ENSGALG00000024298
ADAP1	ENSGALG00000003819
ADAP2	ENSGALG00000003319
ADARB1	ENSGALG00000007527
ADARB2	ENSGALG00000006797
ADAR	ENSGALG00000021475
ADAT1	ENSGALG00000000908
ADAT2	ENSGALG00000019976
ADCK1	ENSGALG00000010504
ADCK2	ENSGALG00000012863
ADCY1	ENSGALG00000031170
ADCY2	ENSGALG00000013060
ADCY3	ENSGALG00000016608
ADCY5	ENSGALG00000031244
ADCY7	ENSGALG00000003837
ADCY8	ENSGALG00000030251
ADCY9	ENSGALG00000007779
ADCYAP1	ENSGALG00000014858
ADCYAP1R1	ENSGALG00000005223
ADD1	ENSGALG00000015664
ADD2	ENSGALG00000026948
ADD3	ENSGALG00000008542
ADGB	ENSGALG00000012317
ADGRA2	ENSGALG00000003118
ADGRB1	ENSGALG00000033960
ADGRB2	ENSGALG00000043209
ADGRB3	ENSGALG00000016176
ADGRD1	ENSGALG00000002557
ADGRD2	ENSGALG00000001094
ADGRF4	ENSGALG00000016723
ADGRF5	ENSGALG00000039320
ADGRG2	ENSGALG00000016511
ADGRG5	ENSGALG00000001149
ADGRG6	ENSGALG00000013803
ADGRG7	ENSGALG00000015294
ADGRL3	ENSGALG00000011319
ADGRL4	ENSGALG00000008890
ADH5	ENSGALG00000012245
ADHFE1	ENSGALG00000031860
ADI1	ENSGALG00000025796
ADIPOQ	ENSGALG00000005554
ADIPOR1	ENSGALG00000000094
ADIPOR2	ENSGALG00000035533
ADK	ENSGALG00000005057
ADNP2	ENSGALG00000035669
ADNP	ENSGALG00000007989
ADORA1	ENSGALG00000000168
ADORA2A	ENSGALG00000006642
ADORA2B	ENSGALG00000014182
ADORA3	ENSGALG00000001462
ADPGK	ENSGALG00000001788
ADPRH	ENSGALG00000015473
ADPRHL1	ENSGALG00000016826
ADPRM	ENSGALG00000041763
ADPRS	ENSGALG00000002304
ADRA1A	ENSGALG00000000469
ADRA1B	ENSGALG00000001416
ADRA2A	ENSGALG00000023521
ADRA2C	ENSGALG00000015608
ADRB1	ENSGALG00000008949
ADRB2	ENSGALG00000040035
ADRM1	ENSGALG00000005200
ADSL	ENSGALG00000012034
ADSS1	ENSGALG00000011618
ADSS2	ENSGALG00000010702
AFAP1	ENSGALG00000015556
AFAP1L1	ENSGALG00000039628
AFAP1L2	ENSGALG00000008999
AFDN	ENSGALG00000011329
AFF1	ENSGALG00000043935
AFF2	ENSGALG00000009168
AFF3	ENSGALG00000016767
AFF4	ENSGALG00000030147
AFG1L	ENSGALG00000015303
AFG3L2	ENSGALG00000013853
AFMID	ENSGALG00000000109
AFTPH	ENSGALG00000008828
AGA	ENSGALG00000010716
AGBL1	ENSGALG00000006819
AGFG1	ENSGALG00000003052
AGGF1	ENSGALG00000004311
AGK	ENSGALG00000012870
AGL	ENSGALG00000005407
AGMAT	ENSGALG00000031872
AGMO	ENSGALG00000010792
AGO1	ENSGALG00000002249
AGPAT2	ENSGALG00000023517
AGPAT3	ENSGALG00000031932
AGPAT4	ENSGALG00000011571
AGPAT5	ENSGALG00000016329
AGPS	ENSGALG00000009236
AGR2	ENSGALG00000010825
AGR3	ENSGALG00000019651
AGRN	ENSGALG00000039193
AGRP	ENSGALG00000002244
AGT	ENSGALG00000011117
AGTPBP1	ENSGALG00000012595
AGTR1	ENSGALG00000038512
AGTR2	ENSGALG00000005936
AGTRAP	ENSGALG00000004623
AGXT2	ENSGALG00000003432
AGXT	ENSGALG00000020943
AHCTF1	ENSGALG00000010630
AHCY	ENSGALG00000033677
AHCYL1	ENSGALG00000000329
AHI1	ENSGALG00000013951
AHNAK2	ENSGALG00000011687
AHR	ENSGALG00000010836
AHRR	ENSGALG00000013402
AHSA1	ENSGALG00000010463
AHSG	ENSGALG00000008601
AICDA	ENSGALG00000014280
AIDA	ENSGALG00000009426
AIFM1	ENSGALG00000004003
AIFM2	ENSGALG00000004777
AIFM3	ENSGALG00000007720
AIG1	ENSGALG00000013780
AIMP1	ENSGALG00000010553
AIMP2	ENSGALG00000003400
AIP	ENSGALG00000040247
AIPL1	ENSGALG00000005014
AK1	ENSGALG00000029150
AK2	ENSGALG00000003597
AK3	ENSGALG00000014447
AK4	ENSGALG00000011035
AK6	ENSGALG00000020534
AK7	ENSGALG00000011093
AK9	ENSGALG00000015224
AKAIN1	ENSGALG00000027053
AKAP10	ENSGALG00000004679
AKAP11	ENSGALG00000022739
AKAP13	ENSGALG00000006840
AKAP14	ENSGALG00000020261
AKAP17A	ENSGALG00000016686
AKAP1	ENSGALG00000005575
AKAP5	ENSGALG00000011721
AKAP6	ENSGALG00000009995
AKAP7	ENSGALG00000029794
AKAP8	ENSGALG00000039773
AKAP8L	ENSGALG00000039974
AKAP9	ENSGALG00000040724
AKIRIN2	ENSGALG00000015791
AKNA	ENSGALG00000037031
AKR1A1	ENSGALG00000010244
AKR1D1	ENSGALG00000012834
AKT1	ENSGALG00000011620
AKTIP	ENSGALG00000033378
ALAD	ENSGALG00000008865
ALAS1	ENSGALG00000003948
ALB	ENSGALG00000035219
ALCAM	ENSGALG00000015348
ALDH18A1	ENSGALG00000034655
ALDH1A1	ENSGALG00000015147
ALDH1A2	ENSGALG00000004270
ALDH1L2	ENSGALG00000012691
ALDH2	ENSGALG00000004725
ALDH3A2	ENSGALG00000004763
ALDH4A1	ENSGALG00000042184
ALDH5A1	ENSGALG00000032544
ALDH6A1	ENSGALG00000010211
ALDH7A1	ENSGALG00000008229
ALDH8A1	ENSGALG00000013969
ALDH9A1	ENSGALG00000003495
ALDOB	ENSGALG00000015544
ALDOC	ENSGALG00000026077
ALG11	ENSGALG00000017022
ALG12	ENSGALG00000008539
ALG13	ENSGALG00000007976
ALG14	ENSGALG00000005583
ALG1	ENSGALG00000002067
ALG2	ENSGALG00000013573
ALG3	ENSGALG00000008503
ALG5	ENSGALG00000017049
ALG6	ENSGALG00000010991
ALG8	ENSGALG00000019042
ALG9	ENSGALG00000021174
ALKAL2	ENSGALG00000016364
ALKBH1	ENSGALG00000010485
ALKBH2	ENSGALG00000035152
ALKBH3	ENSGALG00000041309
ALKBH4	ENSGALG00000001844
ALKBH5	ENSGALG00000043693
ALKBH8	ENSGALG00000017170
ALK	ENSGALG00000009034
ALOX5AP	ENSGALG00000026781
ALOX5	ENSGALG00000005857
ALPK1	ENSGALG00000012074
ALPK3	ENSGALG00000037950
ALPL	ENSGALG00000023542
ALS2CL	ENSGALG00000005430
ALS2	ENSGALG00000008415
ALX1	ENSGALG00000027213
ALX3	ENSGALG00000025867
ALYREF	ENSGALG00000007237
AMACR	ENSGALG00000003326
AMBP	ENSGALG00000030255
AMBRA1	ENSGALG00000008358
AMD1	ENSGALG00000039575
AMDHD1	ENSGALG00000011414
AMDHD2	ENSGALG00000009234
AMER1	ENSGALG00000007599
AMER2	ENSGALG00000027868
AMFR	ENSGALG00000003107
AMIGO2	ENSGALG00000009739
AMMECR1	ENSGALG00000008074
AMN1	ENSGALG00000012938
AMN	ENSGALG00000011391
AMOT	ENSGALG00000007952
AMOTL1	ENSGALG00000017208
AMPD1	ENSGALG00000002082
AMPD3	ENSGALG00000005662
AMPH	ENSGALG00000032958
AMT	ENSGALG00000025844
AMZ1	ENSGALG00000004358
ANAPC10	ENSGALG00000028643
ANAPC13	ENSGALG00000031312
ANAPC16	ENSGALG00000004410
ANAPC1	ENSGALG00000008254
ANAPC2	ENSGALG00000008625
ANAPC4	ENSGALG00000014378
ANAPC5	ENSGALG00000004179
ANAPC7	ENSGALG00000003826
ANGEL1	ENSGALG00000010372
ANGEL2	ENSGALG00000009802
ANGPT1	ENSGALG00000029983
ANGPT2	ENSGALG00000036189
ANGPTL1	ENSGALG00000004290
ANGPTL2	ENSGALG00000000927
ANGPTL3	ENSGALG00000010978
ANGPTL4	ENSGALG00000000619
ANGPTL5	ENSGALG00000017191
ANGPTL7	ENSGALG00000003179
ANK1	ENSGALG00000003594
ANK2	ENSGALG00000012044
ANK3	ENSGALG00000003135
ANKDD1A	ENSGALG00000007252
ANKDD1B	ENSGALG00000014958
ANKEF1	ENSGALG00000008996
ANKFN1	ENSGALG00000003105
ANKFY1	ENSGALG00000001467
ANKH	ENSGALG00000012964
ANKIB1	ENSGALG00000031917
ANKK1	ENSGALG00000007815
ANKLE2	ENSGALG00000002143
ANKMY2	ENSGALG00000010804
ANKRA2	ENSGALG00000013511
ANKRD10	ENSGALG00000030125
ANKRD11	ENSGALG00000052842
ANKRD12	ENSGALG00000008399
ANKRD13A	ENSGALG00000043357
ANKRD13B	ENSGALG00000032723
ANKRD13C	ENSGALG00000031210
ANKRD13D	ENSGALG00000042297
ANKRD16	ENSGALG00000008168
ANKRD17	ENSGALG00000011642
ANKRD1	ENSGALG00000006491
ANKRD22	ENSGALG00000028250
ANKRD24	ENSGALG00000001235
ANKRD26	ENSGALG00000009104
ANKRD27	ENSGALG00000004671
ANKRD28	ENSGALG00000011226
ANKRD29	ENSGALG00000015034
ANKRD2	ENSGALG00000007539
ANKRD33B	ENSGALG00000038328
ANKRD33	ENSGALG00000052464
ANKRD34B	ENSGALG00000044727
ANKRD34C	ENSGALG00000030576
ANKRD40	ENSGALG00000007389
ANKRD42	ENSGALG00000017250
ANKRD44	ENSGALG00000007996
ANKRD46	ENSGALG00000041445
ANKRD49	ENSGALG00000017210
ANKRD50	ENSGALG00000011831
ANKRD52	ENSGALG00000031973
ANKRD54	ENSGALG00000012299
ANKRD55	ENSGALG00000014717
ANKRD60	ENSGALG00000007624
ANKRD61	ENSGALG00000051639
ANKRD6	ENSGALG00000015768
ANKRD9	ENSGALG00000011376
ANKS1A	ENSGALG00000002723
ANKS1B	ENSGALG00000011549
ANKS3	ENSGALG00000000643
ANKS4B	ENSGALG00000002442
ANKS6	ENSGALG00000013196
ANKZF1	ENSGALG00000011332
ANO10	ENSGALG00000042371
ANO1	ENSGALG00000041808
ANO3	ENSGALG00000013311
ANO4	ENSGALG00000011614
ANO5	ENSGALG00000003748
ANO6	ENSGALG00000009638
ANO8	ENSGALG00000034615
ANP32A	ENSGALG00000008054
ANPEP	ENSGALG00000027501
ANTKMT	ENSGALG00000021364
ANTXR1	ENSGALG00000030603
ANTXR2	ENSGALG00000043675
ANXA10	ENSGALG00000009573
ANXA11	ENSGALG00000043826
ANXA13	ENSGALG00000036418
ANXA1	ENSGALG00000015148
ANXA2	ENSGALG00000003770
ANXA5	ENSGALG00000011885
ANXA6	ENSGALG00000004357
ANXA7	ENSGALG00000005299
AOAH	ENSGALG00000035505
AOC3	ENSGALG00000046412
AOPEP	ENSGALG00000040796
AOX1	ENSGALG00000008185
AP1AR	ENSGALG00000028807
AP1B1	ENSGALG00000042213
AP1G1	ENSGALG00000000848
AP1M1	ENSGALG00000003959
AP1S2	ENSGALG00000016551
AP1S3	ENSGALG00000005171
AP2A2	ENSGALG00000006799
AP2B1	ENSGALG00000042125
AP2M1	ENSGALG00000008432
AP2S1	ENSGALG00000048394
AP3B1	ENSGALG00000004390
AP3D1	ENSGALG00000000996
AP3M1	ENSGALG00000005070
AP3M2	ENSGALG00000038155
AP3S1	ENSGALG00000002341
AP4S1	ENSGALG00000009936
AP5M1	ENSGALG00000012101
AP5S1	ENSGALG00000030095
APAF1	ENSGALG00000011531
APBA1	ENSGALG00000015111
APBA2	ENSGALG00000003930
APBA3	ENSGALG00000000740
APBB1IP	ENSGALG00000007579
APBB3	ENSGALG00000001132
APCDD1	ENSGALG00000050840
APCDD1L	ENSGALG00000007543
APC	ENSGALG00000000220
APEH	ENSGALG00000002784
APH1A	ENSGALG00000045163
APIP	ENSGALG00000031286
APLF	ENSGALG00000008745
APLNR	ENSGALG00000004841
APLP2	ENSGALG00000001250
APMAP	ENSGALG00000008651
APOA1	ENSGALG00000007114
APOA4	ENSGALG00000007109
APOA5	ENSGALG00000014368
APOBEC2	ENSGALG00000003226
APOBEC4	ENSGALG00000053078
APOB	ENSGALG00000016491
APOD	ENSGALG00000006995
APOH	ENSGALG00000033376
APOO	ENSGALG00000016345
APOOL	ENSGALG00000006978
APPBP2	ENSGALG00000005314
APP	ENSGALG00000015770
APPL1	ENSGALG00000005527
APPL2	ENSGALG00000027122
APTX	ENSGALG00000001954
AQP11	ENSGALG00000031734
AQP1	ENSGALG00000005209
AQP2	ENSGALG00000037878
AQP3	ENSGALG00000002452
AQP4	ENSGALG00000015128
AQP5	ENSGALG00000041878
AQP8	ENSGALG00000053053
AQP9	ENSGALG00000004261
AQR	ENSGALG00000009838
ARAP2	ENSGALG00000041373
ARAP3	ENSGALG00000002562
ARC	ENSGALG00000016154
ARCN1	ENSGALG00000007430
AREG	ENSGALG00000010866
AREL1	ENSGALG00000010270
AR	ENSGALG00000030879
ARF1	ENSGALG00000005393
ARF4	ENSGALG00000005622
ARF6	ENSGALG00000026944
ARFGAP1	ENSGALG00000005781
ARFGAP2	ENSGALG00000008247
ARFGAP3	ENSGALG00000014140
ARFGEF1	ENSGALG00000034610
ARFGEF2	ENSGALG00000004663
ARFGEF3	ENSGALG00000013846
ARFIP1	ENSGALG00000041361
ARFRP1	ENSGALG00000006101
ARG2	ENSGALG00000009519
ARGLU1	ENSGALG00000016855
ARHGAP10	ENSGALG00000010031
ARHGAP11A	ENSGALG00000009731
ARHGAP12	ENSGALG00000007254
ARHGAP15	ENSGALG00000012421
ARHGAP18	ENSGALG00000031843
ARHGAP19	ENSGALG00000007609
ARHGAP1	ENSGALG00000042357
ARHGAP21	ENSGALG00000007721
ARHGAP22	ENSGALG00000006137
ARHGAP24	ENSGALG00000011124
ARHGAP25	ENSGALG00000035194
ARHGAP26	ENSGALG00000033938
ARHGAP27	ENSGALG00000044230
ARHGAP28	ENSGALG00000014758
ARHGAP29	ENSGALG00000005683
ARHGAP31	ENSGALG00000015077
ARHGAP35	ENSGALG00000036101
ARHGAP40	ENSGALG00000003550
ARHGAP42	ENSGALG00000017196
ARHGAP44	ENSGALG00000001311
ARHGAP45	ENSGALG00000032469
ARHGAP5	ENSGALG00000009992
ARHGAP6	ENSGALG00000016602
ARHGDIA	ENSGALG00000008443
ARHGDIB	ENSGALG00000011738
ARHGEF10	ENSGALG00000016350
ARHGEF10L	ENSGALG00000043128
ARHGEF11	ENSGALG00000039163
ARHGEF12	ENSGALG00000006663
ARHGEF16	ENSGALG00000001058
ARHGEF17	ENSGALG00000017326
ARHGEF18	ENSGALG00000003572
ARHGEF26	ENSGALG00000010352
ARHGEF28	ENSGALG00000014923
ARHGEF33	ENSGALG00000013221
ARHGEF37	ENSGALG00000039652
ARHGEF38	ENSGALG00000010577
ARHGEF39	ENSGALG00000002599
ARHGEF3	ENSGALG00000005481
ARHGEF6	ENSGALG00000006439
ARHGEF7	ENSGALG00000031009
ARHGEF9	ENSGALG00000007608
ARID1A	ENSGALG00000029316
ARID1B	ENSGALG00000013683
ARID2	ENSGALG00000033074
ARID3A	ENSGALG00000026231
ARID3B	ENSGALG00000001376
ARID4A	ENSGALG00000012037
ARID5A	ENSGALG00000039206
ARID5B	ENSGALG00000031534
ARIH1	ENSGALG00000001901
ARIH2	ENSGALG00000006956
ARL10	ENSGALG00000003360
ARL11	ENSGALG00000022733
ARL13B	ENSGALG00000015412
ARL14EP	ENSGALG00000012139
ARL15	ENSGALG00000014911
ARL16	ENSGALG00000052581
ARL1	ENSGALG00000011651
ARL2BP	ENSGALG00000049492
ARL3	ENSGALG00000008049
ARL4A	ENSGALG00000027757
ARL4C	ENSGALG00000052743
ARL5B	ENSGALG00000008557
ARL6	ENSGALG00000019215
ARL6IP1	ENSGALG00000006780
ARL6IP4	ENSGALG00000003682
ARL6IP5	ENSGALG00000038904
ARL8A	ENSGALG00000000606
ARL8B	ENSGALG00000008314
ARMC10	ENSGALG00000008288
ARMC1	ENSGALG00000036567
ARMC2	ENSGALG00000015289
ARMC3	ENSGALG00000007864
ARMC6	ENSGALG00000003024
ARMC7	ENSGALG00000007961
ARMC8	ENSGALG00000040889
ARMC9	ENSGALG00000007691
ARMH1	ENSGALG00000020716
ARMH3	ENSGALG00000007658
ARMH4	ENSGALG00000012089
ARMT1	ENSGALG00000026322
ARNT2	ENSGALG00000006445
ARNT	ENSGALG00000000751
ARNTL2	ENSGALG00000014096
ARNTL	ENSGALG00000005378
ARPC1A	ENSGALG00000004693
ARPC2	ENSGALG00000011452
ARPC3	ENSGALG00000003820
ARPC4	ENSGALG00000006691
ARPC5	ENSGALG00000020927
ARPC5L	ENSGALG00000001014
ARPP19	ENSGALG00000017370
ARPP21	ENSGALG00000043240
ARR3	ENSGALG00000004251
ARRDC1	ENSGALG00000008475
ARRDC2	ENSGALG00000003527
ARRDC3	ENSGALG00000025915
ARRDC4	ENSGALG00000007012
ARSA	ENSGALG00000035824
ARSB	ENSGALG00000004438
ARSG	ENSGALG00000004193
ARSI	ENSGALG00000005616
ARSJ	ENSGALG00000033286
ARSK	ENSGALG00000014672
ART4	ENSGALG00000011742
ARV1	ENSGALG00000011155
ARVCF	ENSGALG00000043373
AS3MT	ENSGALG00000008133
ASAH2	ENSGALG00000003751
ASAP1	ENSGALG00000037618
ASAP2	ENSGALG00000016419
ASAP3	ENSGALG00000036949
ASB11	ENSGALG00000016562
ASB12	ENSGALG00000007594
ASB13	ENSGALG00000008401
ASB14	ENSGALG00000005537
ASB15	ENSGALG00000008814
ASB1	ENSGALG00000004272
ASB2	ENSGALG00000010881
ASB3	ENSGALG00000008176
ASB4	ENSGALG00000009691
ASB5	ENSGALG00000010837
ASB6	ENSGALG00000004378
ASB7	ENSGALG00000007115
ASB8	ENSGALG00000037396
ASB9	ENSGALG00000016563
ASCC1	ENSGALG00000026019
ASCC2	ENSGALG00000008059
ASCC3	ENSGALG00000015465
ASCL3	ENSGALG00000036725
ASF1A	ENSGALG00000014887
ASH1L	ENSGALG00000014638
ASH2L	ENSGALG00000003233
ASIC1	ENSGALG00000034025
ASIC2	ENSGALG00000000367
ASIC4	ENSGALG00000011250
ASIC5	ENSGALG00000009366
ASIP	ENSGALG00000039101
ASMT	ENSGALG00000016685
ASMTL	ENSGALG00000016689
ASNSD1	ENSGALG00000041666
ASNS	ENSGALG00000009748
ASPA	ENSGALG00000004669
ASPG	ENSGALG00000011572
ASPHD2	ENSGALG00000023396
ASPN	ENSGALG00000004722
ASRGL1	ENSGALG00000015949
ASS1	ENSGALG00000023689
ASTN1	ENSGALG00000004472
ASTN2	ENSGALG00000007038
ASXL1	ENSGALG00000006612
ASXL2	ENSGALG00000016531
ASXL3	ENSGALG00000015196
ASZ1	ENSGALG00000034574
ATAD1	ENSGALG00000003652
ATAD2B	ENSGALG00000037872
ATAD5	ENSGALG00000003294
ATCAY	ENSGALG00000001812
ATE1	ENSGALG00000009502
ATF1	ENSGALG00000033614
ATF2	ENSGALG00000009287
ATF3	ENSGALG00000049422
ATF4	ENSGALG00000012135
ATF6	ENSGALG00000032278
ATF7IP	ENSGALG00000011814
ATG101	ENSGALG00000042016
ATG10	ENSGALG00000027714
ATG12	ENSGALG00000002345
ATG13	ENSGALG00000008347
ATG14	ENSGALG00000012148
ATG16L1	ENSGALG00000001619
ATG2B	ENSGALG00000042088
ATG3	ENSGALG00000015204
ATG4A	ENSGALG00000008282
ATG4B	ENSGALG00000006298
ATG4C	ENSGALG00000010985
ATG5	ENSGALG00000015387
ATG7	ENSGALG00000004932
ATG9A	ENSGALG00000011649
ATG9B	ENSGALG00000038330
ATIC	ENSGALG00000003570
ATL1	ENSGALG00000012339
ATL2	ENSGALG00000037289
ATM	ENSGALG00000017159
ATMIN	ENSGALG00000040475
ATN1	ENSGALG00000014554
ATOH7	ENSGALG00000052760
ATOX1	ENSGALG00000004176
ATP10A	ENSGALG00000043118
ATP10B	ENSGALG00000001662
ATP10D	ENSGALG00000014192
ATP11A	ENSGALG00000041644
ATP11B	ENSGALG00000008839
ATP11C	ENSGALG00000006623
ATP12A	ENSGALG00000006469
ATP13A1	ENSGALG00000032815
ATP13A2	ENSGALG00000003774
ATP13A3	ENSGALG00000007075
ATP13A4	ENSGALG00000020827
ATP13A5	ENSGALG00000007179
ATP1A1	ENSGALG00000032247
ATP1B1	ENSGALG00000015233
ATP1B3	ENSGALG00000002764
ATP1B4	ENSGALG00000008593
ATP23	ENSGALG00000009747
ATP2A2	ENSGALG00000032287
ATP2A3	ENSGALG00000001564
ATP2B2	ENSGALG00000030908
ATP2B4	ENSGALG00000003601
ATP2C1	ENSGALG00000034340
ATP4B	ENSGALG00000016822
ATP5F1B	ENSGALG00000038801
ATP5F1C	ENSGALG00000006753
ATP5MC1	ENSGALG00000001330
ATP5MC3	ENSGALG00000009286
ATP5ME	ENSGALG00000015372
ATP5MF	ENSGALG00000033001
ATP5MF-PTCD1	ENSGALG00000004711
ATP5PB	ENSGALG00000001452
ATP5PD	ENSGALG00000007926
ATP5PF	ENSGALG00000015751
ATP5PO	ENSGALG00000041812
ATP6AP1	ENSGALG00000008836
ATP6AP2	ENSGALG00000016241
ATP6V0A1	ENSGALG00000003256
ATP6V0A2	ENSGALG00000003194
ATP6V0A4	ENSGALG00000040666
ATP6V0B	ENSGALG00000010091
ATP6V0C	ENSGALG00000009229
ATP6V0D1	ENSGALG00000002237
ATP6V0E1	ENSGALG00000049287
ATP6V0E2	ENSGALG00000020754
ATP6V1A	ENSGALG00000014800
