gene	transcript	branch
ENSG00000005381	ENST00000340482	0
ENSG00000005421	ENST00000542556	5
ENSG00000005436	ENST00000541687	0
ENSG00000005448	ENST00000348227	0
ENSG00000005469	ENST00000442291	0
ENSG00000005471	ENST00000440025	0
ENSG00000005483	ENST00000334877	0
ENSG00000005486	ENST00000318622	1
ENSG00000005513	ENST00000293894	0
ENSG00000005700	ENST00000510291	0
ENSG00000005801	ENST00000534569	4
ENSG00000005810	ENST00000357337	0
ENSG00000005812	ENST00000355619	0
ENSG00000005844	ENST00000568926	3
ENSG00000005882	ENST00000512238	2
ENSG00000005884	ENST00000544892	0
ENSG00000005889	ENST00000304543	0
ENSG00000005893	ENST00000200639	0
ENSG00000005955	ENST00000593016	0
ENSG00000005961	ENST00000377068	0
ENSG00000005981	ENST00000428113	0
ENSG00000006007	ENST00000569773	0
ENSG00000006015	ENST00000595490	3
ENSG00000006016	ENST00000392386	0
ENSG00000006025	ENST00000007414	0
ENSG00000006042	ENST00000583437	0
ENSG00000006047	ENST00000571464	1
ENSG00000006059	ENST00000007735	4
ENSG00000006071	ENST00000531891	0
ENSG00000006074	ENST00000004921	5
ENSG00000006075	ENST00000225245	4
ENSG00000006114	ENST00000346661	0
ENSG00000006116	ENST00000005284	0
ENSG00000006118	ENST00000540112	1
ENSG00000006125	ENST00000592167	1
ENSG00000006128	ENST00000346867	1
ENSG00000006194	ENST00000574674	3
ENSG00000006210	ENST00000565912	3
ENSG00000006282	ENST00000511347	0
ENSG00000006283	ENST00000511768	0
ENSG00000006327	ENST00000575836	3
ENSG00000006377	ENST00000007660	0
ENSG00000006432	ENST00000554752	0
ENSG00000006451	ENST00000005257	0
ENSG00000006453	ENST00000005260	0
ENSG00000006459	ENST00000006967	0
ENSG00000006468	ENST00000421381	0
ENSG00000006530	ENST00000355413	0
ENSG00000006534	ENST00000316367	1
ENSG00000006555	ENST00000371276	0
ENSG00000006576	ENST00000307305	0
ENSG00000006606	ENST00000005180	4
ENSG00000006607	ENST00000422951	0
ENSG00000006611	ENST00000526181	0
ENSG00000006625	ENST00000005374	0
ENSG00000006634	ENST00000430279	1
ENSG00000006638	ENST00000411851	0
ENSG00000006652	ENST00000421296	0
ENSG00000006659	ENST00000601802	8
ENSG00000006695	ENST00000537334	0
ENSG00000006704	ENST00000470715	0
ENSG00000006712	ENST00000221266	0
ENSG00000006715	ENST00000413141	0
ENSG00000006740	ENST00000581437	0
ENSG00000006744	ENST00000446899	0
ENSG00000006747	ENST00000445618	1
ENSG00000006756	ENST00000458014	0
ENSG00000006757	ENST00000381042	1
ENSG00000006788	ENST00000252172	1
ENSG00000006831	ENST00000357103	0
ENSG00000006837	ENST00000521755	3
ENSG00000007001	ENST00000409859	0
ENSG00000007047	ENST00000592762	0
ENSG00000007062	ENST00000447510	0
ENSG00000007080	ENST00000445755	0
ENSG00000007129	ENST00000401445	10
ENSG00000007168	ENST00000451360	0
ENSG00000007171	ENST00000313735	1
ENSG00000007174	ENST00000579703	0
ENSG00000007202	ENST00000544884	0
ENSG00000007216	ENST00000537681	0
ENSG00000007237	ENST00000579158	0
ENSG00000007255	ENST00000592647	3
ENSG00000007264	ENST00000590849	0
ENSG00000007312	ENST00000349817	3
ENSG00000007314	ENST00000435607	1
ENSG00000007341	ENST00000369666	0
ENSG00000007350	ENST00000217905	1
ENSG00000007372	ENST00000455099	0
ENSG00000007376	ENST00000563560	0
ENSG00000007384	ENST00000448893	0
ENSG00000007392	ENST00000418978	0
ENSG00000007402	ENST00000395083	0
ENSG00000007516	ENST00000561793	0
ENSG00000007520	ENST00000566296	0
ENSG00000007541	ENST00000540241	0
ENSG00000007545	ENST00000262317	0
ENSG00000007866	ENST00000433586	0
ENSG00000007908	ENST00000367779	0
ENSG00000007923	ENST00000349363	0
ENSG00000007933	ENST00000542847	1
ENSG00000007944	ENST00000356840	0
ENSG00000007952	ENST00000372960	0
ENSG00000007968	ENST00000361729	0
ENSG00000008018	ENST00000262193	0
ENSG00000008056	ENST00000295987	0
ENSG00000008083	ENST00000397311	0
ENSG00000008086	ENST00000379996	0
ENSG00000008118	ENST00000361322	0
ENSG00000008130	ENST00000489538	0
ENSG00000008196	ENST00000263046	0
ENSG00000008197	ENST00000008391	0
ENSG00000008226	ENST00000346219	0
ENSG00000008256	ENST00000396741	0
ENSG00000008277	ENST00000413139	0
ENSG00000008282	ENST00000470347	1
ENSG00000008283	ENST00000584291	0
ENSG00000008294	ENST00000511795	0
ENSG00000008300	ENST00000544264	0
ENSG00000008311	ENST00000358954	0
ENSG00000008323	ENST00000304581	3
ENSG00000008324	ENST00000447630	4
ENSG00000008382	ENST00000597036	0
ENSG00000008394	ENST00000396207	0
ENSG00000008405	ENST00000008527	0
ENSG00000008438	ENST00000008938	4
ENSG00000008441	ENST00000586797	0
ENSG00000008513	ENST00000399640	0
ENSG00000008516	ENST00000336577	1
ENSG00000008517	ENST00000525377	3
ENSG00000008710	ENST00000568591	0
ENSG00000008735	ENST00000008876	0
ENSG00000008838	ENST00000580008	0
ENSG00000008853	ENST00000251822	0
ENSG00000008869	ENST00000354531	0
ENSG00000008952	ENST00000469515	0
ENSG00000008988	ENST00000518875	0
ENSG00000009307	ENST00000529046	0
ENSG00000009335	ENST00000430750	0
ENSG00000009413	ENST00000435970	0
ENSG00000009694	ENST00000422452	0
ENSG00000009709	ENST00000375375	0
ENSG00000009724	ENST00000400897	0
ENSG00000009765	ENST00000425615	0
ENSG00000009780	ENST00000446647	2
ENSG00000009790	ENST00000010338	1
ENSG00000009830	ENST00000557289	0
ENSG00000009844	ENST00000452973	0
ENSG00000009950	ENST00000395189	0
ENSG00000009954	ENST00000339594	0
ENSG00000010017	ENST00000011619	0
ENSG00000010030	ENST00000339796	0
ENSG00000010072	ENST00000008440	0
ENSG00000010165	ENST00000458517	0
ENSG00000010219	ENST00000540757	0
ENSG00000010244	ENST00000578918	0
ENSG00000010256	ENST00000203407	0
ENSG00000010270	ENST00000544203	1
ENSG00000010278	ENST00000382515	0
ENSG00000010282	ENST00000442469	0
ENSG00000010292	ENST00000545962	0
ENSG00000010295	ENST00000436152	0
ENSG00000010318	ENST00000462532	2
ENSG00000010319	ENST00000475739	0
ENSG00000010322	ENST00000420808	0
ENSG00000010327	ENST00000321725	0
ENSG00000010361	ENST00000528043	3
ENSG00000010379	ENST00000445055	0
ENSG00000010404	ENST00000370443	0
ENSG00000010438	ENST00000342836	11
ENSG00000010539	ENST00000575617	3
ENSG00000010610	ENST00000011653	2
ENSG00000010626	ENST00000431207	0
ENSG00000010671	ENST00000372880	0
ENSG00000010704	ENST00000336625	4
ENSG00000010803	ENST00000361705	0
ENSG00000010810	ENST00000518630	0
ENSG00000010818	ENST00000367603	0
ENSG00000010932	ENST00000402921	1
ENSG00000011007	ENST00000418390	0
ENSG00000011009	ENST00000400061	0
ENSG00000011021	ENST00000312413	0
ENSG00000011028	ENST00000446119	0
ENSG00000011052	ENST00000393183	0
ENSG00000011083	ENST00000524041	1
ENSG00000011105	ENST00000537971	0
ENSG00000011114	ENST00000393170	0
ENSG00000011132	ENST00000316757	1
ENSG00000011143	ENST00000581761	0
ENSG00000011198	ENST00000456453	0
ENSG00000011201	ENST00000262648	0
ENSG00000011243	ENST00000595879	0
ENSG00000011258	ENST00000376381	0
ENSG00000011260	ENST00000583205	1
ENSG00000011275	ENST00000389900	0
ENSG00000011295	ENST00000486880	1
ENSG00000011304	ENST00000394601	0
ENSG00000011332	ENST00000412732	0
ENSG00000011347	ENST00000545053	0
ENSG00000011376	ENST00000430399	0
ENSG00000011405	ENST00000540361	0
ENSG00000011426	ENST00000457743	0
ENSG00000011451	ENST00000263381	0
ENSG00000011454	ENST00000373643	0
ENSG00000011465	ENST00000550563	0
ENSG00000011478	ENST00000012049	0
ENSG00000011485	ENST00000012443	0
ENSG00000011523	ENST00000537589	0
ENSG00000011566	ENST00000536018	1
ENSG00000011590	ENST00000262630	4
ENSG00000011600	ENST00000589517	3
ENSG00000011677	ENST00000535043	2
ENSG00000012048	ENST00000412061	2
ENSG00000012061	ENST00000589214	0
ENSG00000012124	ENST00000544992	3
ENSG00000012174	ENST00000365779	0
ENSG00000012211	ENST00000540849	0
ENSG00000012232	ENST00000522698	0
ENSG00000012504	ENST00000188403	0
ENSG00000012660	ENST00000541407	0
ENSG00000012779	ENST00000542434	0
ENSG00000012822	ENST00000548177	0
ENSG00000012963	ENST00000416753	0
ENSG00000012983	ENST00000013125	0
ENSG00000013016	ENST00000322054	0
ENSG00000013275	ENST00000455878	0
ENSG00000013288	ENST00000285599	0
ENSG00000013293	ENST00000231706	0
ENSG00000013297	ENST00000451576	0
ENSG00000013306	ENST00000585523	0
ENSG00000013364	ENST00000566252	0
ENSG00000013374	ENST00000480714	1
ENSG00000013375	ENST00000503094	0
ENSG00000013392	ENST00000539997	1
ENSG00000013441	ENST00000434813	2
ENSG00000013503	ENST00000549569	0
ENSG00000013523	ENST00000557179	0
ENSG00000013561	ENST00000394519	0
ENSG00000013563	ENST00000393638	0
ENSG00000013573	ENST00000535317	11
ENSG00000013583	ENST00000536942	1
ENSG00000013588	ENST00000014914	2
ENSG00000013619	ENST00000455522	1
ENSG00000013725	ENST00000538611	2
ENSG00000013810	ENST00000313288	0
ENSG00000014123	ENST00000369278	0
ENSG00000014138	ENST00000541089	0
ENSG00000014164	ENST00000262577	0
ENSG00000014216	ENST00000526954	0
ENSG00000014257	ENST00000351273	1
ENSG00000014641	ENST00000454035	0
ENSG00000014824	ENST00000513699	0
ENSG00000014914	ENST00000439741	0
ENSG00000014919	ENST00000016171	0
ENSG00000015133	ENST00000556726	0
ENSG00000015153	ENST00000327791	0
ENSG00000015171	ENST00000397962	0
ENSG00000015285	ENST00000450772	0
ENSG00000015413	ENST00000421184	0
ENSG00000015475	ENST00000399767	2
ENSG00000015479	ENST00000514528	1
ENSG00000015520	ENST00000546276	0
ENSG00000015532	ENST00000017003	0
ENSG00000015592	ENST00000265770	0
ENSG00000015676	ENST00000355451	0
ENSG00000016082	ENST00000511384	0
ENSG00000016391	ENST00000315251	0
ENSG00000016402	ENST00000367748	3
ENSG00000016490	ENST00000234701	1
ENSG00000016602	ENST00000370563	1
ENSG00000016864	ENST00000481643	0
ENSG00000017260	ENST00000422190	0
ENSG00000017373	ENST00000542707	0
ENSG00000017427	ENST00000307046	0
ENSG00000017483	ENST00000441948	0
ENSG00000017621	ENST00000454342	3
ENSG00000017797	ENST00000458039	0
ENSG00000018189	ENST00000536664	0
ENSG00000018236	ENST00000360099	1
ENSG00000018280	ENST00000354352	0
ENSG00000018408	ENST00000485352	1
ENSG00000018510	ENST00000264167	0
ENSG00000018610	ENST00000536133	1
ENSG00000018625	ENST00000447527	0
ENSG00000018699	ENST00000317907	0
ENSG00000018869	ENST00000589143	4
ENSG00000019102	ENST00000403470	4
ENSG00000019144	ENST00000527898	0
ENSG00000019169	ENST00000541757	4
ENSG00000019186	ENST00000395954	0
ENSG00000019485	ENST00000263765	0
ENSG00000019505	ENST00000528101	1
ENSG00000019549	ENST00000396822	0
ENSG00000019582	ENST00000523208	0
ENSG00000019991	ENST00000421558	1
ENSG00000019995	ENST00000359653	0
ENSG00000020129	ENST00000423723	0
ENSG00000020181	ENST00000428068	0
ENSG00000020256	ENST00000216923	0
ENSG00000020426	ENST00000557134	0
ENSG00000020577	ENST00000357634	0
ENSG00000020633	ENST00000540420	0
ENSG00000020922	ENST00000538923	0
ENSG00000021300	ENST00000543085	2
ENSG00000021355	ENST00000537185	0
ENSG00000021488	ENST00000589659	0
ENSG00000021574	ENST00000345662	0
ENSG00000021645	ENST00000335750	1
ENSG00000021762	ENST00000534157	0
ENSG00000021776	ENST00000560117	0
ENSG00000021826	ENST00000451903	0
ENSG00000021852	ENST00000535057	0
ENSG00000022267	ENST00000370674	0
ENSG00000022277	ENST00000449062	0
ENSG00000022355	ENST00000444819	0
ENSG00000022556	ENST00000585500	5
ENSG00000022567	ENST00000433583	0
ENSG00000022840	ENST00000546262	0
ENSG00000022976	ENST00000558850	0
ENSG00000023041	ENST00000369404	0
ENSG00000023171	ENST00000322282	0
ENSG00000023191	ENST00000529115	2
ENSG00000023228	ENST00000455934	0
ENSG00000023287	ENST00000539297	0
ENSG00000023318	ENST00000262455	0
ENSG00000023330	ENST00000459884	0
ENSG00000023445	ENST00000263464	0
ENSG00000023516	ENST00000025301	0
ENSG00000023572	ENST00000367439	0
ENSG00000023608	ENST00000216294	1
ENSG00000023697	ENST00000526530	0
ENSG00000023734	ENST00000538352	0
ENSG00000023839	ENST00000370449	0
ENSG00000023892	ENST00000542066	0
ENSG00000023902	ENST00000025469	0
ENSG00000023909	ENST00000370238	0
ENSG00000024048	ENST00000372883	0
ENSG00000024422	ENST00000263277	5
ENSG00000024526	ENST00000489862	0
ENSG00000024862	ENST00000332797	0
ENSG00000025039	ENST00000359203	0
ENSG00000025156	ENST00000368455	0
ENSG00000025293	ENST00000374000	0
ENSG00000025423	ENST00000322165	4
ENSG00000025434	ENST00000420369	0
ENSG00000025708	ENST00000425169	0
ENSG00000025770	ENST00000420993	0
ENSG00000025772	ENST00000372813	0
ENSG00000025796	ENST00000446496	0
ENSG00000025800	ENST00000537234	0
ENSG00000026025	ENST00000544301	0
ENSG00000026036	ENST00000492259	0
ENSG00000026103	ENST00000355279	3
ENSG00000026297	ENST00000478180	1
ENSG00000026508	ENST00000278386	1
ENSG00000026559	ENST00000396017	0
ENSG00000026652	ENST00000366908	0
ENSG00000026751	ENST00000359331	3
ENSG00000026950	ENST00000427334	8
ENSG00000027001	ENST00000382172	1
ENSG00000027075	ENST00000557294	0
ENSG00000027644	ENST00000368195	1
ENSG00000027697	ENST00000367735	3
ENSG00000027847	ENST00000029410	0
ENSG00000027869	ENST00000368198	1
ENSG00000028116	ENST00000412104	1
ENSG00000028137	ENST00000376259	3
ENSG00000028203	ENST00000261219	0
ENSG00000028277	ENST00000342301	0
ENSG00000028310	ENST00000466684	0
ENSG00000028528	ENST00000559389	0
ENSG00000028839	ENST00000416965	0
ENSG00000029153	ENST00000542388	0
ENSG00000029363	ENST00000392348	1
ENSG00000029364	ENST00000557046	0
ENSG00000029534	ENST00000518061	0
ENSG00000029559	ENST00000226284	2
ENSG00000029639	ENST00000367166	0
ENSG00000029725	ENST00000262477	0
ENSG00000029993	ENST00000419110	1
ENSG00000030066	ENST00000528501	0
ENSG00000030110	ENST00000374467	1
ENSG00000030304	ENST00000374448	0
ENSG00000030419	ENST00000442445	1
ENSG00000030582	ENST00000589265	0
ENSG00000031003	ENST00000509596	0
ENSG00000031081	ENST00000264245	0
ENSG00000031691	ENST00000335783	3
ENSG00000031698	ENST00000234677	0
ENSG00000031823	ENST00000590623	0
ENSG00000032219	ENST00000348476	0
ENSG00000032389	ENST00000435721	0
ENSG00000032444	ENST00000595264	0
ENSG00000032742	ENST00000537103	0
ENSG00000033011	ENST00000544428	0
ENSG00000033030	ENST00000336229	0
ENSG00000033050	ENST00000222388	0
ENSG00000033100	ENST00000482173	0
ENSG00000033122	ENST00000415775	0
ENSG00000033170	ENST00000358307	0
ENSG00000033178	ENST00000505673	0
ENSG00000033327	ENST00000530915	0
ENSG00000033627	ENST00000587510	0
ENSG00000033800	ENST00000563996	0
ENSG00000033867	ENST00000437266	0
ENSG00000034053	ENST00000558259	0
ENSG00000034152	ENST00000526076	0
ENSG00000034239	ENST00000523008	4
ENSG00000034510	ENST00000233143	3
ENSG00000034533	ENST00000514044	0
ENSG00000034677	ENST00000432381	0
ENSG00000034693	ENST00000367592	0
ENSG00000034713	ENST00000568455	0
ENSG00000034971	ENST00000037502	0
ENSG00000035115	ENST00000451005	0
ENSG00000035141	ENST00000438759	0
ENSG00000035403	ENST00000417648	0
ENSG00000035499	ENST00000545085	1
ENSG00000035664	ENST00000561162	0
ENSG00000035681	ENST00000427130	0
ENSG00000035687	ENST00000366535	1
ENSG00000035720	ENST00000396225	3
ENSG00000035862	ENST00000592761	0
ENSG00000035928	ENST00000504554	0
ENSG00000036054	ENST00000475134	0
ENSG00000036257	ENST00000436172	0
ENSG00000036448	ENST00000262113	0
ENSG00000036473	ENST00000039007	0
ENSG00000036530	ENST00000423126	3
ENSG00000036549	ENST00000414381	0
ENSG00000036565	ENST00000437980	1
ENSG00000036672	ENST00000525735	0
ENSG00000036828	ENST00000296154	0
ENSG00000037042	ENST00000251412	2
ENSG00000037241	ENST00000519156	1
ENSG00000037280	ENST00000512795	0
ENSG00000037474	ENST00000539938	0
ENSG00000037637	ENST00000375592	0
ENSG00000037749	ENST00000522177	0
ENSG00000037757	ENST00000040663	0
ENSG00000037897	ENST00000553125	0
ENSG00000037965	ENST00000040584	0
ENSG00000038002	ENST00000264595	0
ENSG00000038210	ENST00000512921	0
ENSG00000038219	ENST00000040738	0
ENSG00000038274	ENST00000520449	1
ENSG00000038295	ENST00000506144	0
ENSG00000038358	ENST00000577105	0
ENSG00000038382	ENST00000344135	0
ENSG00000038427	ENST00000265077	0
ENSG00000038532	ENST00000261657	0
ENSG00000039068	ENST00000561751	0
ENSG00000039123	ENST00000505565	0
ENSG00000039139	ENST00000265104	0
ENSG00000039319	ENST00000509558	0
ENSG00000039523	ENST00000566559	0
ENSG00000039537	ENST00000263413	0
ENSG00000039560	ENST00000508777	0
ENSG00000039600	ENST00000519442	1
ENSG00000039650	ENST00000598020	0
ENSG00000039987	ENST00000549706	0
ENSG00000040199	ENST00000356272	0
ENSG00000040275	ENST00000512028	0
ENSG00000040341	ENST00000521447	0
ENSG00000040487	ENST00000497827	0
ENSG00000040531	ENST00000414524	0
ENSG00000040608	ENST00000425986	0
ENSG00000040633	ENST00000574407	0
ENSG00000040731	ENST00000510477	1
ENSG00000040933	ENST00000545415	0
ENSG00000041353	ENST00000262094	0
ENSG00000041357	ENST00000558281	0
ENSG00000041515	ENST00000375857	0
ENSG00000041802	ENST00000437613	0
ENSG00000041880	ENST00000431474	0
ENSG00000041982	ENST00000534839	0
ENSG00000041988	ENST00000377627	0
ENSG00000042062	ENST00000045083	1
ENSG00000042088	ENST00000555178	0
ENSG00000042286	ENST00000307864	0
ENSG00000042304	ENST00000264387	5
ENSG00000042317	ENST00000556406	0
ENSG00000042429	ENST00000528786	0
ENSG00000042445	ENST00000263854	0
ENSG00000042493	ENST00000449030	0
ENSG00000042753	ENST00000601649	0
ENSG00000042781	ENST00000307340	0
ENSG00000042813	ENST00000419417	2
ENSG00000042832	ENST00000377869	0
ENSG00000042980	ENST00000518326	1
ENSG00000043039	ENST00000531946	0
ENSG00000043093	ENST00000466812	0
ENSG00000043143	ENST00000430087	0
ENSG00000043355	ENST00000376335	0
ENSG00000043462	ENST00000521416	1
ENSG00000043514	ENST00000486825	0
ENSG00000043591	ENST00000369295	0
ENSG00000044012	ENST00000372581	3
ENSG00000044090	ENST00000535468	2
ENSG00000044115	ENST00000518381	0
ENSG00000044446	ENST00000379942	0
ENSG00000044459	ENST00000262360	0
ENSG00000044524	ENST00000494014	0
ENSG00000044574	ENST00000324460	0
ENSG00000046604	ENST00000261590	0
ENSG00000046647	ENST00000332885	2
ENSG00000046651	ENST00000340096	0
ENSG00000046653	ENST00000475307	0
ENSG00000046889	ENST00000288368	0
ENSG00000047056	ENST00000436154	0
ENSG00000047188	ENST00000161863	0
ENSG00000047230	ENST00000443824	2
ENSG00000047249	ENST00000524164	0
ENSG00000047315	ENST00000433463	0
ENSG00000047346	ENST00000568863	0
ENSG00000047365	ENST00000506189	1
ENSG00000047410	ENST00000367478	0
ENSG00000047457	ENST00000479771	0
ENSG00000047578	ENST00000261588	0
ENSG00000047579	ENST00000355917	0
ENSG00000047597	ENST00000378616	0
ENSG00000047617	ENST00000327087	1
ENSG00000047621	ENST00000542080	0
ENSG00000047634	ENST00000419185	4
ENSG00000047644	ENST00000380861	0
ENSG00000047648	ENST00000413512	0
ENSG00000047662	ENST00000265018	1
ENSG00000047849	ENST00000383737	0
ENSG00000047932	ENST00000368498	0
ENSG00000047936	ENST00000368507	1
ENSG00000048028	ENST00000260188	0
ENSG00000048052	ENST00000428307	0
ENSG00000048140	ENST00000405525	0
ENSG00000048162	ENST00000389158	0
ENSG00000048342	ENST00000506643	0
ENSG00000048392	ENST00000523957	1
ENSG00000048405	ENST00000434602	0
ENSG00000048462	ENST00000053243	3
ENSG00000048471	ENST00000323433	0
ENSG00000048540	ENST00000534946	0
ENSG00000048544	ENST00000053468	0
ENSG00000048545	ENST00000541991	0
ENSG00000048649	ENST00000360355	0
ENSG00000048707	ENST00000466732	0
ENSG00000048740	ENST00000537122	0
ENSG00000048828	ENST00000340893	1
ENSG00000048991	ENST00000425804	0
ENSG00000049089	ENST00000372748	0
ENSG00000049130	ENST00000552044	2
ENSG00000049167	ENST00000543101	0
ENSG00000049192	ENST00000536360	0
ENSG00000049239	ENST00000377403	0
ENSG00000049245	ENST00000470357	1
ENSG00000049246	ENST00000377541	1
ENSG00000049247	ENST00000054668	1
ENSG00000049249	ENST00000377507	3
ENSG00000049283	ENST00000512291	0
ENSG00000049323	ENST00000422669	0
ENSG00000049449	ENST00000527337	0
ENSG00000049540	ENST00000442310	3
ENSG00000049541	ENST00000463194	0
ENSG00000049618	ENST00000346085	0
ENSG00000049656	ENST00000320927	0
ENSG00000049759	ENST00000587190	0
ENSG00000049768	ENST00000455775	1
ENSG00000049769	ENST00000438316	0
ENSG00000049860	ENST00000513336	0
ENSG00000049883	ENST00000503315	1
ENSG00000050030	ENST00000055682	0
ENSG00000050130	ENST00000356057	0
ENSG00000050165	ENST00000450094	0
ENSG00000050327	ENST00000471847	1
ENSG00000050344	ENST00000056233	1
ENSG00000050393	ENST00000488770	0
ENSG00000050405	ENST00000552720	0
ENSG00000050426	ENST00000548251	1
ENSG00000050438	ENST00000358657	0
ENSG00000050555	ENST00000361069	0
ENSG00000050628	ENST00000414819	0
ENSG00000050730	ENST00000454328	1
ENSG00000050748	ENST00000425491	0
ENSG00000050767	ENST00000390654	2
ENSG00000050820	ENST00000569340	0
ENSG00000051009	ENST00000524416	0
ENSG00000051108	ENST00000344114	0
ENSG00000051128	ENST00000355887	0
ENSG00000051180	ENST00000533741	0
ENSG00000051341	ENST00000264233	0
ENSG00000051382	ENST00000465581	0
ENSG00000051523	ENST00000568278	0
ENSG00000051596	ENST00000511062	2
ENSG00000051620	ENST00000453452	3
ENSG00000051825	ENST00000606326	1
ENSG00000052126	ENST00000538972	0
ENSG00000052344	ENST00000567797	1
ENSG00000052723	ENST00000060969	0
ENSG00000052749	ENST00000414986	0
ENSG00000052795	ENST00000379346	1
ENSG00000052802	ENST00000505270	0
ENSG00000052841	ENST00000525029	0
ENSG00000052850	ENST00000329255	0
ENSG00000053108	ENST00000265342	0
ENSG00000053254	ENST00000261302	0
ENSG00000053328	ENST00000338882	0
ENSG00000053372	ENST00000330263	0
ENSG00000053438	ENST00000346199	4
ENSG00000053501	ENST00000445667	0
ENSG00000053524	ENST00000414362	0
ENSG00000053702	ENST00000337508	0
ENSG00000053747	ENST00000586751	0
ENSG00000053770	ENST00000554863	0
ENSG00000053900	ENST00000510092	0
ENSG00000053918	ENST00000335475	0
ENSG00000054116	ENST00000373159	0
ENSG00000054118	ENST00000469141	0
ENSG00000054148	ENST00000545326	1
ENSG00000054179	ENST00000312665	0
ENSG00000054219	ENST00000263636	1
ENSG00000054267	ENST00000264183	0
ENSG00000054277	ENST00000331838	0
ENSG00000054282	ENST00000343783	0
ENSG00000054356	ENST00000409251	0
ENSG00000054392	ENST00000545781	0
ENSG00000054523	ENST00000377081	0
ENSG00000054598	ENST00000380874	0
ENSG00000054611	ENST00000441936	0
ENSG00000054654	ENST00000341472	0
ENSG00000054690	ENST00000417684	0
ENSG00000054793	ENST00000311637	0
ENSG00000054796	ENST00000494972	0
ENSG00000054803	ENST00000064571	0
ENSG00000054938	ENST00000528789	0
ENSG00000054965	ENST00000064778	0
ENSG00000054967	ENST00000064780	0
ENSG00000054983	ENST00000557316	0
ENSG00000055044	ENST00000426814	0
ENSG00000055070	ENST00000375590	0
ENSG00000055118	ENST00000430723	0
ENSG00000055130	ENST00000409469	0
ENSG00000055147	ENST00000520313	0
ENSG00000055163	ENST00000442283	0
ENSG00000055208	ENST00000392282	0
ENSG00000055211	ENST00000433539	2
ENSG00000055332	ENST00000233057	1
ENSG00000055483	ENST00000588086	0
