paralog_pair,PC9_GI_score_rank,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score_rank,HeLa_GI_score,HeLa_GI_fdr,target1,target2,target1_ensembl_id,target1_chr,target1_start_pos,target2_ensembl_id,target2_hgnc_symbol,target2_chr,target2_start_pos,PC9_target1_TPM,PC9_target2_TPM,PC9_target1_essential,PC9_target2_essential,PC9_target1_cn,PC9_target2_cn,PC9_DKO_expected_CS,PC9_DKO_observed_CS,PC9_GI_pval,HeLa_target1_TPM,HeLa_target2_TPM,HeLa_target1_cn,HeLa_target2_cn,HeLa_DKO_expected_CS,HeLa_DKO_observed_CS,HeLa_GI_pval,PC9_GI_flag,HeLa_GI_flag,GI_flag,same_chr,same_chr_dist,proximity
GSK3B|GSK3A,3,-1.429767114,0.001617708,4,-1.659580107,0.012450871,GSK3B,GSK3A,ENSG00000082701,3,119821321,ENSG00000105723,GSK3A,19,42230190,12.275,42.365,FALSE,FALSE,1.816174759,1.922429783,-0.343343488,-1.691435608,1.73E-05,20.42872377,50.57993584,1.841537811,1.837000274,0.649198098,-1.073316367,4.84E-04,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
HNRNPD|HNRNPAB,11,-1.043551439,0.001714807,36,-0.796183684,0.028806966,HNRNPD,HNRNPAB,ENSG00000138668,4,82352498,ENSG00000197451,HNRNPAB,5,178204533,141.815,135.569,FALSE,FALSE,1.72224339,2.024578838,-0.624694959,-1.53552354,2.00E-05,181.201119,247.227163,1.843289561,2.147743292,-0.255127422,-1.004025876,0.002181498,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
BRD3|BRD2,40,-0.815545797,0.002140792,97,-0.441457246,0.208820278,BRD3,BRD2,ENSG00000169925,9,134030305,ENSG00000204256,BRD2,6,32968594,5.173,69.061,FALSE,FALSE,2.019098853,1.991240473,0.549695966,-0.346206179,2.70E-05,18.26959036,76.04237892,2.554660968,1.843055783,-0.482806232,-0.849228657,0.060618702,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
COQ10B|COQ10A,7,-1.117552466,0.002241486,66,-0.577353666,0.035765381,COQ10B,COQ10A,ENSG00000115520,2,197453423,ENSG00000135469,COQ10A,12,56266858,28.176,6.246,FALSE,FALSE,1.997086104,2.010152424,-0.973097305,-1.894713468,3.05E-05,25.44966714,12.9420245,2.135635615,1.892361391,-0.898739638,-1.350364339,0.003354393,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
SEC24B|SEC24A,6,-1.118339211,0.002463108,54,-0.651448452,0.036091806,SEC24B,SEC24A,ENSG00000138802,4,109433772,ENSG00000113615,SEC24A,5,134648785,13.103,7.55,FALSE,FALSE,1.711680691,2.009115283,-0.216038342,-1.275800557,3.59E-05,9.696936424,14.09185886,1.864597159,2.123188446,-0.270297791,-0.872612043,0.003433978,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CAP2|CAP1,1012,0.556000829,0.002798477,177,-0.280461554,0.332518328,CAP2,CAP1,ENSG00000112186,6,17393505,ENSG00000131236,CAP1,1,40040233,4.495,204.969,FALSE,TRUE,2.030507497,2.055269143,-1.727156552,-0.838404378,4.35E-05,15.43333228,188.2917642,1.868320771,2.09232336,-0.57312353,-0.767542351,0.141463937,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
PDE6H|PDE6G,1009,0.545672517,0.002902244,442,-0.095667132,0.619621495,PDE6H,PDE6G,ENSG00000139053,12,14973042,ENSG00000185527,PDE6G,17,81650459,0.149,0.584,FALSE,FALSE,2.001298414,1.681643353,-0.300498355,0.319075418,4.91E-05,0.166087185,0.562141242,2.106574052,2.085981856,-0.150307779,-0.211465145,0.424109858,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
FEZF2|FEZF1,1011,0.552855365,0.002902244,897,0.18006278,0.3701232,FEZF2,FEZF1,ENSG00000153266,3,62369681,ENSG00000128610,FEZF1,7,122301303,0,0.177,FALSE,FALSE,1.766021611,1.930586395,-0.40398345,0.241549306,5.07E-05,0.076655624,0.19163906,1.843874287,2.145597302,-0.12622569,0.085411721,0.167068451,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
AP2A1|AP2A2,18,-0.978456634,0.003277918,24,-0.935470131,7.65E-04,AP2A1,AP2A2,ENSG00000196961,19,49766968,ENSG00000183020,AP2A2,11,924894,28.474,15.249,FALSE,FALSE,2.374458169,1.858445827,-0.492180972,-1.361957828,6.05E-05,37.8295504,15.53553978,1.828457733,1.495686544,-0.048088642,-0.96150752,2.86E-06,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
DYNC1I2|DYNC1I1,38,-0.826029151,0.0039464,71,-0.560074424,0.09491488,DYNC1I2,DYNC1I1,ENSG00000077380,2,171687409,ENSG00000158560,DYNC1I1,7,95772506,193.346,0,TRUE,FALSE,3.398381234,2.00412091,-0.455904895,-1.17983613,7.66E-05,77.70325077,1.418129042,1.865016765,2.153085907,-1.147466729,-1.551497222,0.015849863,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
SHMT2|SHMT1,81,-0.583544697,0.004181876,52,-0.665686018,7.65E-04,SHMT2,SHMT1,ENSG00000182199,12,57229573,ENSG00000176974,SHMT1,17,18327860,144.572,43.112,FALSE,FALSE,2.010152424,2.0024102,-0.370987169,-0.867841257,8.88E-05,127.1972319,27.82599148,1.854468966,2.110646728,-0.445674459,-1.040851293,2.97E-06,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
EIF1B|EIF1,17,-0.988709941,0.004181876,3,-1.723311949,0.0037392,EIF1B,EIF1,ENSG00000114784,3,40309707,ENSG00000173812,EIF1,17,41688885,58.062,758.746,FALSE,TRUE,1.984185386,2.0024102,-0.785537781,-1.612341856,8.93E-05,56.16302045,422.2575043,2.115430017,2.165541198,-0.989609786,-2.576117476,6.86E-05,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
AP1B1|AP2B1,41,-0.809113267,0.004298764,124,-0.385101351,0.265241657,AP1B1,AP2B1,ENSG00000100280,22,29327680,ENSG00000006125,AP2B1,17,35578046,25.718,41.469,FALSE,FALSE,2.002040625,2.0024102,-0.242611992,-0.988326793,9.75E-05,17.13253194,105.5675701,1.850038447,2.109031236,-0.929956746,-1.185524377,0.095023467,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
OXSR1|STK39,13,-1.034107434,0.004298764,69,-0.56295305,0.122119039,OXSR1,STK39,ENSG00000172939,3,38165089,ENSG00000198648,STK39,2,167954020,25.867,25.487,FALSE,FALSE,1.984185386,1.689001009,-0.023965952,-1.034345632,1.00E-04,23.46939685,10.77011516,2.115430017,1.865016765,-0.303904165,-0.813627055,0.023773395,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
FAM50B|FAM50A,27,-0.920089751,0.004330352,220,-0.241944357,0.144655257,FAM50B,FAM50A,ENSG00000145945,6,3849373,ENSG00000071859,FAM50A,X,154444141,4.033,43.017,FALSE,TRUE,1.686054456,1.726264013,-0.233380206,-1.091746487,1.08E-04,10.43794079,113.935809,1.823077395,1.880869374,-0.485202124,-0.651819648,0.030106095,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
ARL8A|ARL8B,65,-0.643817252,0.004330352,253,-0.204870701,0.587050856,ARL8A,ARL8B,ENSG00000143862,1,202133404,ENSG00000134108,ARL8B,3,5122245,23.64,24.021,FALSE,FALSE,2.029110572,1.844727545,-0.331975114,-0.896180028,1.09E-04,16.48095914,31.92706736,NA,2.105807299,-1.47668157,-1.485383493,0.391372632,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
PDE1B|PDE1A,1024,0.665166148,0.004347719,332,-0.145785153,0.399446267,PDE1B,PDE1A,ENSG00000123360,12,54549601,ENSG00000115252,PDE1A,2,182140036,0.177,0.394,FALSE,FALSE,2.010152424,2.885771664,-0.801865824,0.028168719,1.14E-04,0,95.76842614,2.136816973,1.861665604,-0.137576845,-0.250403884,0.192742519,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
MED13L|MED13,26,-0.920488492,0.004432552,47,-0.692921502,1.87E-04,MED13L,MED13,ENSG00000123066,12,115953872,ENSG00000108510,MED13,17,61942605,8.378,9.125,FALSE,FALSE,1.995388069,2.040078197,0.1983765,-0.73872562,1.20E-04,9.173122994,9.058139559,1.853817714,2.097636225,0.355626874,-0.364448398,3.62E-07,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
DMXL2|DMXL1,37,-0.828547388,0.004692625,56,-0.634937157,0.015845294,DMXL2,DMXL1,ENSG00000104093,15,51447711,ENSG00000172869,DMXL1,5,119037772,5.567,4.983,FALSE,FALSE,1.751096406,2.021497731,0.107502971,-0.721170129,1.35E-04,6.030242414,7.346163958,2.350880445,2.123188446,-0.501096487,-1.058769598,7.23E-04,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CNOT8|CNOT7,5,-1.20818173,0.004692625,1,-2.063079278,2.22E-05,CNOT8,CNOT7,ENSG00000155508,5,154857553,ENSG00000198791,CNOT7,8,17224966,47.552,82.028,FALSE,FALSE,2.024578838,1.697902304,0.77506637,-0.554362477,1.47E-04,51.14207708,102.0541873,2.058190961,NA,0.166142459,-1.900996145,2.15E-08,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
HAND2|HAND1,1006,0.534300241,0.004692625,522,-0.052372059,0.649982851,HAND2,HAND1,ENSG00000164107,4,173524969,ENSG00000113196,HAND1,5,154474972,0,0,FALSE,FALSE,1.771014555,2.024578838,-0.208823913,0.382744351,1.48E-04,0.242742809,0,1.868019886,2.058190961,-0.034434739,-0.066419688,0.453725893,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
G3BP2|G3BP1,4,-1.429397316,0.004692625,663,0.02178365,0.951159087,G3BP2,G3BP1,ENSG00000138757,4,75642782,ENSG00000145907,G3BP1,5,151771045,67.567,105.56,FALSE,FALSE,1.726203103,2.024578838,-0.260061461,-1.622894312,1.49E-04,64.2246369,168.3229742,1.854705908,2.058190961,-0.858531762,-0.7159197,0.917373408,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CHML|CHM,29,-0.892350738,0.004692625,99,-0.438950822,0.086781591,CHML,CHM,ENSG00000203668,1,241628853,ENSG00000188419,CHM,X,85861180,10.578,11.23,FALSE,FALSE,2.029110572,1.743411031,0.323775053,-0.607941382,1.50E-04,21.34859126,12.73760951,2.165298856,1.870490223,0.092841774,-0.341234455,0.014238921,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
GRIP2|GRIP1,117,-0.46289858,0.004766387,471,-0.077743874,0.673254913,GRIP2,GRIP1,ENSG00000144596,3,14489107,ENSG00000155974,GRIP1,12,66347431,0.081,4.318,FALSE,FALSE,1.844727545,2.010152424,0.041543312,-0.409513387,1.59E-04,0.076655624,0,2.139420288,1.854468966,-0.514000271,-0.51290738,0.481879893,neither_in_PC9,neither_in_HeLa,neither,FALSE,NA,diff_chr
DDX39B|DDX39A,30,-0.890236091,0.004766387,27,-0.914332723,0.033279188,DDX39B,DDX39A,ENSG00000198563,6,31530219,ENSG00000123136,DDX39A,19,14408798,340.796,89.904,FALSE,FALSE,1.991240473,2.334887351,-0.673660501,-1.422289522,1.67E-04,348.7064332,244.7614071,1.87575547,2.146789023,-1.625441606,-2.325474612,0.00287558,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
BTBD10|KCTD20,1017,0.586023929,0.004766387,244,-0.214528769,0.251978873,BTBD10,KCTD20,ENSG00000148925,11,13388001,ENSG00000112078,KCTD20,6,36442767,20.286,18.589,FALSE,FALSE,1.845960379,1.991240473,-0.16602165,0.469504343,1.67E-04,12.81426513,20.86310564,1.859875682,1.855417128,-0.081846454,-0.270209554,0.085868528,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
CARHSP1|CSDC2,125,-0.443687201,0.004858649,665,0.021870355,0.923054288,CARHSP1,CSDC2,ENSG00000153048,16,8852942,ENSG00000172346,CSDC2,22,41561010,91.031,0.095,FALSE,FALSE,2.00116239,2.369908942,0.320523351,-0.161939565,1.76E-04,46.92601777,11.91994952,2.175846714,2.15765069,-0.276193259,-0.204470162,0.85398054,neither_in_PC9,neither_in_HeLa,neither,FALSE,NA,diff_chr
DENND5B|DENND5A,950,0.348004302,0.004858649,428,-0.099715378,0.502303761,DENND5B,DENND5A,ENSG00000170456,12,31382226,ENSG00000184014,DENND5A,11,9138825,2.295,12.221,FALSE,FALSE,2.001298414,1.845960379,0.54005159,0.8094494,1.79E-04,14.04075511,37.85510227,2.177967716,2.126619228,0.097107703,0.001746984,0.296331473,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
ARPC5|ARPC5L,63,-0.656376188,0.005648086,117,-0.400270323,0.023227752,ARPC5,ARPC5L,ENSG00000162704,1,183620846,ENSG00000136950,ARPC5L,9,124862130,133.586,65.177,FALSE,FALSE,2.007571346,2.084513491,0.266133185,-0.419150272,2.14E-04,152.1103097,98.15752642,2.093308087,2.592948914,-0.401195701,-0.736377929,0.001240317,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
AKIRIN1|AKIRIN2,16,-1.006625373,0.005697105,61,-0.610420181,0.046372989,AKIRIN1,AKIRIN2,ENSG00000174574,1,38991276,ENSG00000135334,AKIRIN2,6,87674860,39.514,14.461,FALSE,TRUE,2.055269143,1.700778297,-1.839211197,-2.492754247,2.21E-04,29.38465583,19.59828785,2.09232336,1.884724389,-1.306524567,-1.741514778,0.005089272,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
DEFB131B|DEFB131A,1013,0.556026837,0.006846961,370,-0.127172171,0.393077494,DEFB131B,DEFB131A,ENSG00000225805,11,71878453,ENSG00000186146,DEFB131A,4,9444534,NA,NA,TRUE,FALSE,2.32861398,1.983637062,0.258424461,0.786942684,2.75E-04,NA,NA,2.128025749,1.878186949,0.231959357,0.092706068,0.188524545,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
TOP2B|TOP2A,46,-0.75860409,0.006846961,37,-0.778644575,0.162053659,TOP2B,TOP2A,ENSG00000077097,3,25597905,ENSG00000131747,TOP2A,17,40388525,45.135,84.296,FALSE,TRUE,1.844727545,2.0024102,-2.345160065,-2.658883453,2.81E-04,71.30250617,205.5009518,2.139420288,2.165541198,-1.811736039,-2.353375251,0.036283177,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CASP5|CASP4,1015,0.571597809,0.006846961,1006,0.38170241,0.038574058,CASP5,CASP4,ENSG00000137757,11,104994235,ENSG00000196954,CASP4,11,104942866,0,184.995,FALSE,FALSE,2.593353083,2.593353083,-0.234897808,0.398698821,2.86E-04,0,20.49260346,1.569433786,1.569433786,0.123526136,0.506363315,0.003819955,buffering_in_PC9,buffering_in_HeLa,buffering,TRUE,51369,less_than_1Mb
NDEL1|NDE1,59,-0.681312385,0.006925604,13,-1.153228463,0.001559057,NDEL1,NDE1,ENSG00000166579,17,8413131,ENSG00000072864,NDE1,16,15643267,26.139,14.841,FALSE,FALSE,1.636084792,1.730274115,-0.340150765,-0.940367438,2.96E-04,28.24759741,25.34745964,2.110569746,2.103892741,-1.248245707,-2.233147252,1.36E-05,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
ARPC1A|ARPC1B,70,-0.616737095,0.007361552,254,-0.204519033,0.281336556,ARPC1A,ARPC1B,ENSG00000241685,7,99325898,ENSG00000130429,ARPC1B,7,99374249,162.509,110.19,FALSE,FALSE,2.00412091,2.00412091,-0.045700161,-0.634766089,3.22E-04,109.1576084,103.2679013,2.153085907,2.153085907,-1.105830786,-1.159380495,0.104613496,SL_in_PC9,neither_in_HeLa,synthetic_lethal,TRUE,48351,less_than_1Mb
FAM168B|FAM168A,987,0.428135598,0.008407606,896,0.179576838,0.188484239,FAM168B,FAM168A,ENSG00000152102,2,131047876,ENSG00000054965,FAM168A,11,73400487,16.389,10.211,FALSE,FALSE,1.954926103,2.32861398,-0.980070217,-0.354733165,3.75E-04,22.34511437,9.083691433,1.902125466,2.128025749,-0.883423951,-0.57998483,0.048188583,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
DIRAS2|DIRAS1,977,0.396825701,0.008541494,900,0.183329676,0.24984929,DIRAS2,DIRAS1,ENSG00000165023,9,90609832,ENSG00000176490,DIRAS1,19,2714567,0.326,0.163,FALSE,FALSE,2.084513491,1.686411677,-0.458029902,0.041279272,3.97E-04,0.102207499,7.959408949,2.03289958,1.792894047,0.110647126,0.29668127,0.084657672,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
RALB|RALA,22,-0.94857374,0.008541494,28,-0.913154278,0.001012653,RALB,RALA,ENSG00000144118,2,120240064,ENSG00000006451,RALA,7,39623565,120.008,57.302,FALSE,FALSE,2.590906446,2.652323303,-0.641368,-1.454193759,3.98E-04,23.96765841,38.13617289,1.902125466,2.137526378,-0.515680372,-1.349793114,5.90E-06,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
SLC25A13|SLC25A12,985,0.42347138,0.009042224,715,0.048648081,0.654793591,SLC25A13,SLC25A12,ENSG00000004864,7,96120220,ENSG00000115840,SLC25A12,2,171783405,19.295,46.439,FALSE,FALSE,2.00412091,3.398381234,-0.571855036,-0.02524797,4.36E-04,51.74254614,27.49381711,2.153085907,1.865016765,0.154120836,0.200174791,0.460898402,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
AQP12A|AQP12B,925,0.312067957,0.009042224,813,0.104411296,0.562758265,AQP12A,AQP12B,ENSG00000184945,2,240691851,ENSG00000185176,AQP12B,2,240676418,0,0,FALSE,FALSE,2.645039243,2.645039243,-0.379016217,0.021199124,4.39E-04,0,0,1.835087919,1.835087919,-0.106784408,0.026832006,0.360602383,buffering_in_PC9,neither_in_HeLa,buffering,TRUE,15433,less_than_1Mb
COPG2|COPG1,31,-0.890003753,0.009346323,143,-0.34071942,0.162053659,COPG2,COPG1,ENSG00000158623,7,130506238,ENSG00000181789,COPG1,3,129249606,37.613,86.143,FALSE,TRUE,2.338136232,1.816174759,-1.492731476,-2.092517514,4.66E-04,23.34163748,83.87402849,2.145597302,1.836304366,-0.82685776,-1.05060921,0.036373577,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
IMPDH2|IMPDH1,69,-0.618354017,0.009346323,172,-0.28686027,0.188484239,IMPDH2,IMPDH1,ENSG00000178035,3,49024325,ENSG00000106348,IMPDH1,7,128392277,313.557,44.742,TRUE,FALSE,1.984185386,1.930586395,-0.82510513,-1.274374258,4.72E-04,491.6052921,69.43721932,2.115430017,2.145597302,-1.213754535,-1.336491687,0.047975167,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
CHMP1B|CHMP1A,50,-0.728219647,0.010190628,64,-0.587669011,0.0037392,CHMP1B,CHMP1A,ENSG00000255112,18,11851413,ENSG00000131165,CHMP1A,16,89644435,175.952,64.05,FALSE,TRUE,2.064371658,2.042583548,-0.492300195,-1.111818433,5.24E-04,184.1012568,30.777233,1.870128272,1.844635038,-1.151441753,-1.582582356,8.04E-05,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
KIF21B|KIF21A,992,0.449992319,0.011090709,446,-0.091618689,0.730017581,KIF21B,KIF21A,ENSG00000116852,1,200969390,ENSG00000139116,KIF21A,12,39293228,0.91,9.261,FALSE,FALSE,2.029110572,2.001298414,-0.304660188,0.219988502,5.81E-04,0.063879687,25.16859652,2.10297493,2.177967716,-0.096649434,-0.160298259,0.552880083,buffering_in_PC9,neither_in_HeLa,buffering,FALSE,NA,diff_chr
STAG2|STAG1,33,-0.887660743,0.011202938,40,-0.7521763,0.127926087,STAG2,STAG1,ENSG00000101972,X,123960212,ENSG00000118007,STAG1,3,136336236,67.567,13.769,FALSE,FALSE,2.119908605,1.816174759,-0.583458611,-1.345878339,5.98E-04,67.11199873,13.10811169,1.874542257,1.868862627,-0.67758931,-1.330990542,0.025162432,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
KCNK9|KCNK3,232,-0.263419657,0.012062783,482,-0.074645877,0.585159358,KCNK9,KCNK3,ENSG00000169427,8,139600838,ENSG00000171303,KCNK3,2,26692690,0,0.041,FALSE,FALSE,2.374240018,2.194032413,0.452792225,0.126598246,6.56E-04,0.089431561,3.283415891,2.413527548,1.85340354,-0.210500173,-0.243300009,0.385496466,neither_in_PC9,neither_in_HeLa,neither,FALSE,NA,diff_chr
UBE2B|UBE2A,36,-0.873220416,0.012389615,44,-0.709580936,0.074047354,UBE2B,UBE2A,ENSG00000119048,5,134371469,ENSG00000077721,UBE2A,X,119574536,62.122,125.67,FALSE,FALSE,2.009115283,2.119908605,-0.347744979,-1.138491803,6.96E-04,85.68821159,66.3837703,2.123188446,1.870490223,-1.051576308,-1.616800479,0.010999267,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
RABL2B|RABL2A,60,-0.671056741,0.012389615,685,0.031867194,0.931363155,RABL2B,RABL2A,ENSG00000079974,22,50767501,ENSG00000144134,RABL2A,2,113627229,48.177,8.188,FALSE,FALSE,2.863345239,2.04692856,-0.499820445,-1.060811317,7.06E-04,9.837471735,5.749171793,2.121632455,1.902125466,-1.411848868,-1.191714733,0.87258781,SL_in_PC9,neither_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
MAPK3|MAPK1,24,-0.940215343,0.012389615,85,-0.509334188,0.046372989,MAPK3,MAPK1,ENSG00000102882,16,30114105,ENSG00000100030,MAPK1,22,21759657,47.878,23.749,FALSE,FALSE,2.308315057,1.654369313,-0.227047216,-1.106688135,7.10E-04,37.76567071,25.92237682,2.13500606,1.67694006,-0.999529793,-1.370850668,0.005107105,SL_in_PC9,SL_in_HeLa,synthetic_lethal,FALSE,NA,diff_chr
